meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-108.0,0.4875,-2.4,0.1275,286.4709,0.0909,0,10,5,289000.0,1.0
-107.6361,0.6392,9.0153,0.1107,421.8321,0.1328,0,12,8,1450000.0,0.0
-126.4523,0.2363,-3.0597,0.207,-545.21,0.0,0,8,5,83000.0,2.0
-113.5472,0.7945,-7.7717,0.5038,-426.7705,0.0,0,8,5,83000.0,2.0
-109.075,0.1756,-2.875,0.0156,285.8418,0.0909,0,10,5,289000.0,1.0
-127.2201,0.1432,-3.7536,0.1188,-404.6646,0.0,0,10,5,289000.0,2.0
-108.6,0.24,3.825,0.9006,310.7979,0.913,0,10,5,289000.0,1.0
-134.5094,14.9483,-11.0593,12.3466,403.1716,0.0,0,12,8,1450000.0,2.0
-131.7952,0.3869,-9.4998,0.2254,104.3275,0.0,0,12,8,1450000.0,2.0
-106.0834,0.646,11.7998,0.2609,385.7601,0.0,0,12,8,1450000.0,0.0
-127.9983,0.9513,-3.7699,0.5111,-80.7056,0.0,0,10,5,289000.0,2.0
-111.1,0.49,9.9,0.09,259.4177,0.0,0,10,5,289000.0,0.0
-110.1875,0.0,9.9531,0.0,2464.4153,1.0,1722,8,5,0.0,1.0
-117.2579,0.1818,9.1506,0.138,348.2801,0.0936,1,12,8,1450000.0,0.0
-104.45,1.5975,-2.45,1.0475,294.2304,0.0909,0,10,5,289000.0,1.0
-122.9155,0.6172,0.485,0.257,-623.0234,0.0,0,10,5,289000.0,2.0
-118.1,0.49,4.875,0.1781,-622.4346,0.0,0,8,5,83000.0,0.0
-118.3,0.21,4.725,0.0306,-515.0605,0.0,0,8,5,83000.0,0.0
-109.625,0.1719,-4.375,0.5469,-517.9966,0.0,0,8,5,83000.0,1.0
-114.1,0.09,8.475,0.0556,-165.2556,0.0,0,8,5,83000.0,0.0
-104.3336,0.5763,13.3565,0.0898,178.7653,0.1818,0,12,8,1450000.0,0.0
