meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,condition,detected,thres_pred,review_flag
-70.8000,0.3600,12.0000,0.0500,-349.8049,0.0000,0,8,5,1,0,0,1
-70.1000,0.4900,11.9250,0.1756,-347.2884,0.0000,0,8,5,1,0,0,1
-70.6000,7.8400,11.5750,1.7256,-332.1889,0.0000,0,8,5,1,0,0,1
-64.7000,0.4100,11.9000,0.0525,-347.2884,0.0000,0,8,5,1,0,0,1
-64.5000,0.4500,11.9500,0.0225,-343.0941,0.0000,0,8,5,1,0,0,1
-64.6000,0.4400,12.0500,0.0725,-347.2884,0.0000,0,8,5,1,0,0,1
-69.3000,57.4100,11.8000,0.1850,-344.7718,0.0000,0,8,5,1,0,0,1
-68.2000,29.1600,11.7750,0.0181,-344.7718,0.0000,0,8,5,1,0,0,1
-67.1000,1.6900,11.8500,0.0650,-343.9329,0.0000,0,8,5,1,0,0,1
-67.6000,5.8400,8.5750,11.5131,-343.9329,0.0000,0,8,5,1,0,0,1
-63.6000,0.6400,4.5750,0.1381,-348.9661,0.0000,0,8,5,1,0,0,0
-66.4000,14.4400,4.5500,0.0725,-341.4163,0.0000,0,8,5,1,0,0,0
-64.6000,7.0400,4.3500,0.2400,-327.1557,0.0000,0,8,5,1,0,0,0
-63.2000,2.9600,3.3250,5.6756,-346.4495,0.0000,0,8,5,1,1,0,0
-63.0000,0.0000,10.7500,0.0937,-324.6653,0.0000,0,12,5,1,0,0,1
-66.3333,17.5556,11.1250,0.5573,-268.9597,0.0000,0,12,5,1,0,0,1
-62.5000,0.2500,10.7083,0.0503,-203.7733,0.0000,0,12,5,1,0,0,1
-64.5714,19.9592,10.7500,1.5000,-137.8503,0.0000,0,12,5,1,0,0,1
