meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-116.5000,0.2500,6.1750,0.0631,-614.0461,0.0000,0,8,5,83000.0000,0
-116.0000,1.2000,6.8500,1.2150,-613.2072,0.0000,0,8,5,83000.0000,0
-116.2000,0.3600,6.4000,0.3525,-616.5626,0.0000,0,8,5,83000.0000,0
-117.2000,0.7600,5.5000,0.5500,-615.7238,0.0000,0,8,5,83000.0000,0
-117.0000,1.2000,5.7250,0.8681,-621.5958,0.0000,0,8,5,83000.0000,0
-117.2000,0.7600,5.5000,1.3750,-620.7570,0.0000,0,8,5,83000.0000,0
-117.6000,0.8400,5.3250,1.6756,-625.7901,0.0000,0,8,5,83000.0000,0
-117.1000,0.0900,5.4000,0.0525,-618.2404,0.0000,0,8,5,83000.0000,0
-118.3000,0.4100,4.2750,0.2181,-615.7238,0.0000,0,8,5,83000.0000,0
-119.5000,0.2500,3.0250,0.2181,-614.8849,0.0000,0,8,5,83000.0000,0
-119.3000,0.2100,3.4250,0.3506,-618.2404,0.0000,0,8,5,83000.0000,0
-119.3000,0.2100,3.2250,0.3306,-622.4346,0.0000,0,8,5,83000.0000,0
-119.4000,0.2400,3.4750,0.1181,-619.9181,0.0000,0,8,5,83000.0000,0
-118.6000,0.6400,4.4250,0.3381,-623.2736,0.0000,0,8,5,83000.0000,0
-118.4000,0.4400,4.4000,0.3025,-624.1124,0.0000,0,8,5,83000.0000,0
-118.6000,0.2400,4.1500,0.1400,-623.2735,0.0000,0,8,5,83000.0000,0
-117.0000,0.0000,5.6000,0.0275,-626.6290,0.0000,0,8,5,83000.0000,0
-117.2000,0.1600,5.5750,0.0381,-624.1124,0.0000,0,8,5,83000.0000,0
-117.4000,0.2400,5.2000,0.0600,-618.2404,0.0000,0,8,5,83000.0000,0
-118.1000,0.4900,4.5500,0.1975,-621.5958,0.0000,0,8,5,83000.0000,0
-118.8000,0.3600,4.1750,0.3256,-623.2735,0.0000,0,8,5,83000.0000,0
-117.7000,0.8100,4.9750,0.6181,-625.7901,0.0000,0,8,5,83000.0000,0
-117.7000,1.0100,5.3000,0.5600,-627.4679,0.0000,0,8,5,83000.0000,0
-118.0000,0.4000,4.7750,0.2431,-624.9513,0.0000,0,8,5,83000.0000,0
-117.8000,0.3600,4.9500,0.1100,-625.7901,0.0000,0,8,5,83000.0000,0
-117.4000,0.4400,5.1000,0.1525,-622.4347,0.0000,0,8,5,83000.0000,0
-117.4000,0.2400,5.2500,0.0375,-620.7570,0.0000,0,8,5,83000.0000,0
-117.4000,0.4400,5.5500,0.2225,-617.4015,0.0000,0,8,5,83000.0000,0
-118.4000,0.2400,4.7250,0.3306,-622.4347,0.0909,0,8,5,83000.0000,0
-117.7000,0.4100,5.1250,0.1781,-623.2736,0.0000,0,8,5,83000.0000,0
-118.2000,0.3600,4.7250,0.1306,-624.1124,0.0000,0,8,5,83000.0000,0
-117.8000,0.1600,4.9750,0.0681,-624.9512,0.0000,0,8,5,83000.0000,0
-117.3000,0.6100,5.5250,0.5806,-627.4678,0.0000,0,8,5,83000.0000,0
-118.1000,0.4900,4.8750,0.1781,-622.4346,0.0000,0,8,5,83000.0000,0
-117.7000,0.4100,5.2500,0.1000,-620.7569,0.0000,0,8,5,83000.0000,0
-117.3000,0.6100,5.4000,0.3525,-618.2404,0.0000,0,8,5,83000.0000,0
-117.8000,0.7600,5.1000,1.1650,-622.4347,0.0000,0,8,5,83000.0000,0
-117.3000,0.2100,5.5500,0.0600,-620.7570,0.0000,0,8,5,83000.0000,0
