meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-104.3500,0.4650,-1.2500,0.2250,350.4341,0.0000,0,10,5,289000.0000,1
-103.5250,0.4181,-1.5250,0.0681,348.5466,0.0909,0,10,5,289000.0000,1
-103.4000,0.4650,-0.5000,0.1250,348.7563,0.0909,0,10,5,289000.0000,1
-103.4750,0.5681,-0.9750,0.1431,347.7078,0.0909,0,10,5,289000.0000,1
-103.5750,0.6006,-0.9750,0.0306,346.6592,0.0909,0,10,5,289000.0000,1
-103.8500,0.7525,-0.9500,0.0225,345.1912,0.0909,0,10,5,289000.0000,1
-103.2750,0.5181,-0.8750,0.0781,343.5135,0.0909,0,10,5,289000.0000,1
-103.1500,0.6775,-0.8500,0.0775,344.3523,0.2308,0,10,5,289000.0000,1
-103.1250,0.2281,-0.7250,0.0681,342.8843,0.0909,0,10,5,289000.0000,1
-103.4500,0.5975,-0.9500,0.4975,346.8689,0.0909,0,10,5,289000.0000,1
-103.1750,0.7006,-0.4500,0.2850,340.9969,0.0909,0,10,5,289000.0000,1
-103.1000,0.2650,-0.4750,0.1056,339.9483,0.0909,0,10,5,289000.0000,1
-103.8250,0.1256,-1.0250,0.0556,339.1095,0.0909,0,10,5,289000.0000,1
-103.7250,0.4681,-0.9250,0.0381,337.8512,0.0909,0,10,5,289000.0000,1
-103.3500,0.6650,-0.6500,0.0150,337.8512,0.0909,0,10,5,289000.0000,1
-103.1250,0.5781,-0.5250,0.0181,339.1094,0.0909,0,10,5,289000.0000,1
-103.4500,0.6725,-0.6500,0.0525,338.4803,0.0909,0,10,5,289000.0000,1
-104.0500,0.4350,-0.6500,0.0150,337.0123,0.0909,0,10,5,289000.0000,1
-103.3750,0.3406,-0.6750,0.0256,338.0609,0.0909,0,10,5,289000.0000,1
-103.9250,0.8756,-0.6250,0.0406,337.2220,0.0909,0,10,5,289000.0000,1
-103.0500,0.3225,-0.5500,0.0225,338.0609,0.0909,0,10,5,289000.0000,1
-103.4750,0.3306,-0.5750,0.0256,337.6414,0.0909,0,10,5,289000.0000,1
-103.3250,0.4631,-0.3000,0.0850,336.3832,0.0909,0,10,5,289000.0000,1
-103.7250,0.1681,-0.7250,0.0181,336.3832,0.0909,0,10,5,289000.0000,1
-103.2000,0.2600,-0.7000,0.0100,336.1735,0.0909,0,10,5,289000.0000,1
-102.8250,0.2631,-0.7250,0.0181,336.5929,0.0909,0,10,5,289000.0000,1
-103.4750,1.0431,-1.0750,0.0631,336.8026,0.0909,0,10,5,289000.0000,1
-103.9750,1.2431,-1.1750,0.0631,338.4803,0.0909,0,10,5,289000.0000,1
-103.9750,0.3806,-1.2750,0.0556,337.8512,0.0909,0,10,5,289000.0000,1
-103.4500,0.3975,-0.9500,0.0975,338.6900,0.0909,0,10,5,289000.0000,1
-103.0250,1.5556,-0.9250,0.0506,336.5929,0.0909,0,10,5,289000.0000,1
-102.6250,0.5656,-0.7250,0.0306,335.5444,0.0909,0,10,5,289000.0000,1
-103.0250,0.7181,-0.7250,0.0931,335.7541,0.0909,0,10,5,289000.0000,1
-103.3750,0.4281,-0.6750,0.1131,335.3346,0.1667,0,10,5,289000.0000,1
-103.2000,0.3225,-0.1500,0.3025,335.5443,0.0909,0,10,5,289000.0000,1
-102.8750,0.5781,-0.2750,0.3681,335.3346,0.0909,0,10,5,289000.0000,1
-103.2250,1.4306,-0.8250,0.6006,332.6083,0.0909,0,10,5,289000.0000,1
-103.5250,1.1556,-1.3250,0.3256,331.3500,0.0909,0,10,5,289000.0000,1
-103.8000,0.7350,-1.2000,0.3350,330.0917,0.0909,0,10,5,289000.0000,1
-103.7250,0.8431,-0.9500,0.7475,329.6723,0.0909,0,10,5,289000.0000,1
-103.4500,0.5850,-0.8500,0.4150,326.7363,0.0909,0,10,5,289000.0000,1
-103.0250,0.6431,-0.7000,0.2100,325.8974,0.0909,0,10,5,289000.0000,1
-103.0250,0.8556,-0.8250,0.2756,327.5752,0.0909,0,10,5,289000.0000,1
-102.9500,0.9475,-0.7500,0.2875,325.2683,0.0909,0,10,5,289000.0000,1
-103.0500,0.5225,-0.5500,0.3725,324.8488,0.0909,0,10,5,289000.0000,1
-103.1750,0.2881,0.4750,0.8181,324.8488,0.0909,0,10,5,289000.0000,1
-103.3000,0.2100,1.4500,1.2475,324.0100,0.0909,0,10,5,289000.0000,1
-103.1000,0.6900,1.4500,0.7350,324.6392,0.0909,0,10,5,289000.0000,1
-102.7750,0.3306,0.5500,0.9225,325.0586,0.0909,0,10,5,289000.0000,1
-102.7250,0.6306,0.9500,0.6350,324.2197,0.0909,0,10,5,289000.0000,1
-102.4500,0.4225,0.5500,0.5475,324.4294,0.0909,0,10,5,289000.0000,1
-102.8000,0.5475,0.7000,1.1725,322.5420,0.0909,0,10,5,289000.0000,1
-102.7500,0.3625,0.8500,0.7775,321.4934,0.0909,0,10,5,289000.0000,1
-104.4000,0.8900,-2.6500,6.4025,323.3808,0.0909,0,10,5,289000.0000,1
-104.8500,0.2900,-4.5500,0.3100,323.1711,0.0909,0,10,5,289000.0000,1
-104.9750,0.7431,-5.0750,0.2881,323.8003,0.0909,0,10,5,289000.0000,1
-105.0750,0.2381,-5.2750,0.0681,324.8488,0.0909,0,10,5,289000.0000,1
-105.2000,0.1475,-5.1000,0.0775,322.7517,0.0909,0,10,5,289000.0000,1
-105.1500,0.4150,-5.2500,0.2250,322.5420,0.0909,0,10,5,289000.0000,1
-104.8000,0.2225,-5.3000,0.0725,319.8157,0.0909,0,10,5,289000.0000,1
-105.2500,0.2250,-5.0500,0.2850,321.0740,0.0909,0,10,5,289000.0000,1
-104.6250,0.2531,-5.0250,0.0931,320.0254,0.0909,0,10,5,289000.0000,1
-104.8250,0.1756,-5.0250,0.1556,320.4448,0.0909,0,10,5,289000.0000,1
-104.9750,0.3806,-4.9750,0.2306,319.1865,0.0909,0,10,5,289000.0000,1
-104.9500,0.1600,-5.1500,0.1900,319.6060,0.0909,0,10,5,289000.0000,1
-104.8750,0.2156,-5.0750,0.1756,316.8797,0.0909,0,10,5,289000.0000,1
-104.8750,0.3781,-5.2750,0.2181,317.7185,0.0909,0,10,5,289000.0000,1
-104.4500,0.5225,-4.4500,0.4225,314.7825,0.0909,0,10,5,289000.0000,1
-104.9750,0.3681,-4.1750,0.2881,317.2991,0.0909,0,10,5,289000.0000,1
-105.2000,0.4350,-4.3000,0.0350,317.9282,0.0909,0,10,5,289000.0000,1
-105.0500,0.2350,-4.4500,0.0350,316.8797,0.0909,0,10,5,289000.0000,1
-105.0250,0.2431,-4.4250,0.0131,314.5728,0.0909,0,10,5,289000.0000,1
-105.0000,0.2375,-4.4000,0.1275,315.2019,0.0909,0,10,5,289000.0000,1
-105.0000,0.4000,-4.5000,0.0500,314.3631,0.0909,0,10,5,289000.0000,1
-104.7250,0.3431,-4.4250,0.0381,313.7339,0.0909,0,10,5,289000.0000,1
-105.1000,0.2525,-4.6000,0.0525,313.5242,0.0909,0,10,5,289000.0000,1
-104.5250,0.8931,-3.9000,2.9650,312.0562,0.0909,0,10,5,289000.0000,1
-105.0250,0.3431,-4.6250,0.0531,312.6853,0.0909,0,10,5,289000.0000,1
-104.8750,0.5781,-4.4750,0.0181,313.3145,0.0909,0,10,5,289000.0000,1
-105.0000,0.7000,-4.6000,0.0400,313.5242,0.0909,0,10,5,289000.0000,1
-105.1250,0.2656,-4.6250,0.0406,311.6367,0.0909,0,10,5,289000.0000,1
-104.7750,0.1431,-4.6750,0.0381,311.6367,0.0909,0,10,5,289000.0000,1
-104.7250,0.0931,-4.6250,0.0281,311.6367,0.0909,0,10,5,289000.0000,1
-105.1250,0.2031,-4.8250,0.0381,311.4270,0.0909,0,10,5,289000.0000,1
-104.8500,0.4150,-4.8500,0.0150,311.2173,0.0909,0,10,5,289000.0000,1
-105.8000,0.7350,-5.2000,0.1350,312.0562,0.0909,0,10,5,289000.0000,1
-104.9500,0.2850,-4.6500,0.0650,312.0562,0.0909,0,10,5,289000.0000,1
-104.9250,0.1756,-4.5250,0.0556,306.8133,0.0909,0,10,5,289000.0000,1
-104.9250,0.2631,-4.5250,0.0431,308.4911,0.0909,0,10,5,289000.0000,1
-104.8250,0.3506,-4.6250,0.2906,312.2659,0.0909,0,10,5,289000.0000,1
-104.9750,0.1931,-4.5750,0.0631,307.2327,0.0909,0,10,5,289000.0000,1
-105.4750,0.1056,-4.7750,0.0806,303.2482,0.0909,0,10,5,289000.0000,1
-105.0500,0.3850,-4.4500,0.0350,306.8133,0.0909,0,10,5,289000.0000,1
-104.2250,0.3556,-2.5250,1.1306,305.1356,0.2308,0,10,5,289000.0000,1
-104.0750,0.2881,-2.1750,0.1631,307.6522,0.0909,0,10,5,289000.0000,1
-104.2000,0.1600,-2.2000,0.1600,305.7648,0.0909,0,10,5,289000.0000,1
-104.1500,0.2025,-1.9500,0.0725,304.9258,0.0909,0,10,5,289000.0000,1
-103.8750,0.5781,-1.8750,0.1781,306.1842,0.0909,0,10,5,289000.0000,1
-103.3750,0.7281,-1.3750,0.4781,304.5064,0.0909,0,10,5,289000.0000,1
-102.8750,0.9281,-1.4750,0.3681,303.4579,0.0909,0,10,5,289000.0000,1
-102.9000,0.6400,-1.8000,0.4100,300.3122,0.0909,0,10,5,289000.0000,1
-102.6250,1.0281,-1.4250,0.2381,299.2636,0.0909,0,10,5,289000.0000,1
-102.7000,0.6350,-2.0000,0.3750,302.1996,0.0909,0,10,5,289000.0000,1
-102.5750,0.8131,-1.4750,0.5181,302.8288,0.0909,0,10,5,289000.0000,1
-102.9750,0.6306,-1.1750,0.6006,301.3607,0.0909,0,10,5,289000.0000,1
-104.7000,1.0850,-2.7000,0.6350,301.5705,0.0909,0,10,5,289000.0000,1
-105.8750,0.6031,-3.4750,0.0931,301.5705,0.0909,0,10,5,289000.0000,1
-105.3250,0.5631,-3.3250,0.0631,301.3607,0.0909,0,10,5,289000.0000,1
-104.8250,0.7631,-3.3250,0.0381,302.6190,0.0909,0,10,5,289000.0000,1
-105.2500,0.2250,-3.2500,0.0250,301.1510,0.0909,0,10,5,289000.0000,1
-105.1500,0.5650,-3.3500,0.0150,300.9413,0.0909,0,10,5,289000.0000,1
-105.0000,0.1750,-3.2000,0.0350,300.9413,0.0909,0,10,5,289000.0000,1
-105.1000,0.5650,-3.3000,0.0350,300.5219,0.0909,0,10,5,289000.0000,1
-105.2750,0.5181,-3.1750,0.0131,299.2636,0.0909,0,10,5,289000.0000,1
-105.2750,1.1306,-3.4750,0.1306,299.8928,0.0909,0,10,5,289000.0000,1
-104.6500,0.4400,-3.6500,0.0400,299.8928,0.0909,0,10,5,289000.0000,1
-103.9500,1.2975,-3.6500,0.0775,299.8928,0.0909,0,10,5,289000.0000,1
-104.3250,0.8381,-3.7250,0.1181,298.0053,0.2308,0,10,5,289000.0000,1
-104.6750,1.1131,-3.9750,0.0681,298.0053,0.0909,0,10,5,289000.0000,1
-105.2250,0.7931,-3.8250,0.0631,299.2636,0.0909,0,10,5,289000.0000,1
-105.4250,0.7506,-3.7250,0.2056,299.2636,0.0909,0,10,5,289000.0000,1
-104.5250,0.5431,-3.0250,0.3181,298.4247,0.0909,0,10,5,289000.0000,1
-104.6000,0.4400,7.6000,1.2775,297.3762,0.0909,0,10,5,289000.0000,1
-103.1250,0.3406,-0.4250,0.3256,297.5859,0.0909,0,10,5,289000.0000,1
-103.9250,0.4756,-0.9250,0.0256,299.0539,0.0909,0,10,5,289000.0000,1
-104.2500,0.9375,-0.8500,0.1775,296.5373,0.0909,0,10,5,289000.0000,1
-104.0000,0.2875,-1.4000,0.0775,296.1179,0.0909,0,10,5,289000.0000,1
-103.8500,0.7775,-1.3500,0.0275,293.6013,0.0909,0,10,5,289000.0000,1
-103.5000,2.0875,-1.4000,0.3275,302.1996,0.0909,0,10,5,289000.0000,1
-103.8500,0.3525,-1.2500,0.0625,292.7624,0.0909,0,10,5,289000.0000,1
-104.5000,0.9125,0.6000,17.1025,288.7778,0.0909,0,10,5,289000.0000,1
-103.5750,0.2006,-0.2750,0.0556,287.7292,0.0909,0,10,5,289000.0000,1
-103.8000,0.3600,0.1000,0.0150,288.5681,0.0909,0,10,5,289000.0000,1
-103.8750,0.7031,0.0250,0.0431,287.9390,0.0909,0,10,5,289000.0000,1
-103.6500,0.3900,0.1000,0.0775,288.3584,0.0909,0,10,5,289000.0000,1
-103.4500,0.4600,0.1500,0.0650,290.6653,0.0909,0,10,5,289000.0000,1
-103.9500,0.4350,-0.2000,0.0725,290.6653,0.0909,0,10,5,289000.0000,1
-103.6250,1.0031,-0.1000,0.0400,290.4556,0.0909,0,10,5,289000.0000,1
