meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-107.8250,1.2006,-0.1000,0.8025,323.5906,0.8039,0,10,5,289000.0000,1
-106.9500,0.8850,-0.5500,0.0350,322.9614,0.8077,0,10,5,289000.0000,1
-103.1250,0.0000,-0.1250,0.0000,2739.9292,1.0000,10,10,5,0.0000,1
-105.5250,0.2806,0.1250,0.0406,326.9460,0.8958,0,10,5,289000.0000,1
-105.4000,0.2400,0.2500,0.0750,328.4140,0.2308,0,10,5,289000.0000,1
-105.2000,0.1600,0.1500,0.0150,328.6237,0.1667,0,10,5,289000.0000,1
-105.2000,0.3600,0.2500,0.0250,329.6723,0.0909,0,10,5,289000.0000,1
-105.3000,0.4100,0.1750,0.0256,329.2529,0.2857,0,10,5,289000.0000,1
-105.1000,0.6900,0.2500,0.0250,329.2529,0.7436,0,10,5,289000.0000,1
-105.3000,0.4100,0.2000,0.0225,327.9946,0.2308,0,10,5,289000.0000,1
-105.0000,0.6000,0.1750,0.0131,327.7849,0.2308,0,10,5,289000.0000,1
-105.1000,0.6900,0.2250,0.0306,328.8335,0.7297,0,10,5,289000.0000,1
-105.0000,0.2000,0.2000,0.0100,330.7209,0.5455,0,10,5,289000.0000,1
-105.5250,0.2306,0.5750,0.3631,329.8820,0.0909,0,10,5,289000.0000,1
-95.0000,0.0000,5.5500,0.0000,2745.8010,1.0000,11,10,5,0.0000,1
-94.3000,0.0000,7.5500,0.0000,2749.1565,1.0000,75,10,5,0.0000,1
-106.0000,0.0000,-2.0000,0.0000,321.9128,0.9976,5,10,5,289000.0000,1
-105.0000,0.7917,-1.6667,0.0139,321.2138,0.9651,2,10,5,289000.0000,1
-100.6364,0.0000,3.9318,0.0000,2748.6990,1.0000,13,10,5,0.0000,1
-100.8182,0.0000,4.0000,0.0000,2749.0803,1.0000,24,10,5,0.0000,1
-100.3636,0.0000,3.9545,0.0000,2748.3176,1.0000,35,10,5,0.0000,1
-100.0909,0.0000,4.0227,0.0000,2749.0803,1.0000,46,10,5,0.0000,1
-100.5455,0.0000,4.2727,0.0000,2753.2747,1.0000,57,10,5,0.0000,1
-107.6667,0.8889,4.2500,9.0417,309.3299,0.9516,58,10,5,289000.0000,1
-108.6000,0.2400,3.8250,0.9006,310.7979,0.9130,0,10,5,289000.0000,1
-106.5500,5.2600,1.6750,4.2881,309.7493,0.8438,0,10,5,289000.0000,1
-105.0000,0.2000,0.1000,0.0150,307.8619,0.2857,0,10,5,289000.0000,1
-105.8250,0.3756,0.3250,0.3131,308.7007,0.8305,0,10,5,289000.0000,1
-105.5000,3.0312,-0.1250,0.1719,304.6113,0.9385,49,10,5,289000.0000,1
-106.9219,0.0000,2.9258,0.0000,2767.5208,1.0000,113,10,5,0.0000,1
-106.4286,0.0000,2.1944,0.0000,2774.2815,1.0000,176,10,5,0.0000,1
-106.8125,0.0000,3.2383,0.0000,2781.6748,1.0000,240,10,5,0.0000,1
-106.7231,0.0000,3.2577,0.0000,2791.4221,1.0000,305,10,5,0.0000,1
-106.6094,0.0000,3.2031,0.0000,2796.2903,1.0000,369,10,5,0.0000,1
-106.2500,0.0000,2.6328,0.0000,2799.8633,1.0000,433,10,5,0.0000,1
-105.5000,0.0000,-0.5000,0.0000,368.0502,0.6667,1,10,5,289000.0000,1
-104.3750,0.3906,-0.8750,0.0156,363.8559,0.6667,0,10,5,289000.0000,1
-103.2500,0.0000,-0.2500,0.0000,372.2445,0.6667,2,10,5,289000.0000,1
-104.1250,1.2656,-1.1250,0.0156,362.8073,0.7500,3,10,5,289000.0000,1
-107.7500,0.0000,2.8125,0.0000,2872.5740,1.0000,7,10,5,0.0000,1
-107.8000,0.0000,2.7000,0.0000,2873.3079,1.0000,12,10,5,0.0000,1
