meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-122.6464,0.5153,-0.1233,0.4531,-413.7924,0.0,0,10,5,289000.0,2
-122.5733,0.1538,-4.3599,0.1026,-415.8635,0.0,0,10,5,289000.0,2
-122.969,0.5261,0.4025,0.5831,-404.6823,0.0,0,10,5,289000.0,2
-122.134,0.6336,-3.963,0.5489,-398.9552,0.0,0,10,5,289000.0,2
-127.8858,3.2106,-3.8002,1.7157,-400.1686,0.1302,0,10,5,289000.0,2
-121.8568,0.2384,-2.0604,0.3692,-411.0105,0.0,0,10,5,289000.0,2
-123.4391,0.6046,-1.2037,0.611,-422.5496,0.0,0,10,5,289000.0,2
-121.1805,0.5033,0.8457,0.5227,-421.2206,0.0,0,10,5,289000.0,2
-122.8108,0.7147,0.4097,0.5286,-412.3449,0.0,0,10,5,289000.0,2
-123.4246,0.2584,0.2051,0.2071,-433.2673,0.0,0,10,5,289000.0,2
-120.6257,0.0982,-3.968,0.0658,-402.7581,0.0,0,10,5,289000.0,2
-124.3909,0.3006,-1.6022,0.2481,-390.7004,0.0,0,10,5,289000.0,2
-126.9659,0.3587,-3.071,0.2729,-400.72,0.0,0,10,5,289000.0,2
-120.1718,0.3146,-0.8651,0.2441,-408.1406,0.0,0,10,5,289000.0,2
-122.1449,0.4247,0.0943,0.2584,-420.2689,0.03,0,10,5,289000.0,2
-122.5323,2.4992,-0.5995,2.5841,-414.3426,0.03,0,10,5,289000.0,2
-126.9974,0.3528,-3.355,0.4112,-406.2301,0.0,0,10,5,289000.0,2
-127.1249,0.1025,-4.3776,0.0966,-408.565,0.0,0,10,5,289000.0,2
-124.4424,0.3694,-1.3227,0.2397,-422.5667,0.0,0,10,5,289000.0,2
-119.3063,0.1861,-3.0132,0.1312,-412.77,0.0,0,10,5,289000.0,2
-121.4084,0.4363,-1.8176,0.3487,-413.8597,0.0,0,10,5,289000.0,2
-127.2201,0.1432,-3.7536,0.1188,-404.6646,0.0,0,10,5,289000.0,2
