meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-117.5223,0.198,6.3452,0.3624,231.4872,0.0797,0,12,8,1450000.0,0
-105.4819,1.1867,6.9312,0.7458,308.5132,0.0993,0,12,8,1450000.0,0
-104.2982,0.5358,12.1714,0.2612,322.9797,0.0,0,12,8,1450000.0,0
-112.222,1.0829,8.9873,0.0929,321.9068,0.0716,0,12,8,1450000.0,0
-113.7993,0.442,12.0143,0.6916,433.228,0.0546,0,12,8,1450000.0,0
-111.7747,0.6848,13.4648,0.1095,180.4538,0.1338,0,12,8,1450000.0,0
-105.8971,0.5809,12.3135,0.2574,363.8876,0.0,1,12,8,1450000.0,0
-105.349,0.4326,10.7583,0.1863,309.4595,0.0,0,12,8,1450000.0,0
-104.2339,0.5974,12.8163,0.2355,288.6047,0.0,0,12,8,1450000.0,0
-115.6356,0.3979,6.4024,0.0393,205.1681,0.0621,1,12,8,1450000.0,0
-116.6923,0.9192,9.3131,0.3171,317.9891,0.0288,1,12,8,1450000.0,0
-105.2392,0.5154,12.2004,0.1707,426.0719,0.0,0,12,8,1450000.0,0
-113.9858,1.1477,6.6284,0.1858,267.7721,0.1162,0,12,8,1450000.0,0
-110.3427,0.2879,7.0161,0.3753,328.3101,0.0921,1,12,8,1450000.0,0
-106.3456,0.2642,10.5153,0.0564,294.989,0.0,0,12,8,1450000.0,0
-104.8615,0.7694,10.1364,0.2302,408.3788,0.0824,0,12,8,1450000.0,0
-114.6348,0.3376,7.3952,0.4319,211.7275,0.0835,1,12,8,1450000.0,0
-104.773,0.4866,12.607,0.3211,423.1213,0.0,0,12,8,1450000.0,0
-103.701,0.2363,12.2306,0.0789,293.4815,0.0,1,12,8,1450000.0,0
-109.099,0.2095,6.0748,0.3204,414.4416,0.0462,0,12,8,1450000.0,0
-103.933,0.3394,10.6901,0.3037,243.9099,0.0,0,12,8,1450000.0,0
-103.4087,0.6332,11.5349,0.3009,340.8999,0.0909,1,12,8,1450000.0,0
-108.5917,1.0936,5.3626,0.0376,378.7585,0.0297,1,12,8,1450000.0,0
-105.2008,0.5914,10.7229,0.0956,259.3022,0.0,0,12,8,1450000.0,0
-104.2506,0.3917,10.5109,0.1507,228.8088,0.0,0,12,8,1450000.0,0
-104.7402,0.5186,13.0167,0.0369,234.5013,0.0909,0,12,8,1450000.0,0
-105.706,0.1306,12.8553,0.3185,335.4368,0.1,1,12,8,1450000.0,0
-111.3173,0.4702,8.3566,0.5307,374.4092,0.0437,1,12,8,1450000.0,0
-103.7433,0.6151,12.3775,0.292,230.5683,0.0,1,12,8,1450000.0,0
-105.1987,0.3144,10.3494,0.248,319.5655,0.0,1,12,8,1450000.0,0
-110.9715,0.6777,9.9892,0.2795,392.6626,0.0104,0,12,8,1450000.0,0
-103.2004,0.4827,12.3552,0.269,186.726,0.1,0,12,8,1450000.0,0
-105.1463,0.3743,10.5234,0.672,163.9224,0.1672,0,12,8,1450000.0,0
-104.4627,0.4079,11.9155,0.0488,362.9448,0.0,0,12,8,1450000.0,0
-106.1213,0.4956,11.3356,0.1821,350.6102,0.0,0,12,8,1450000.0,0
-112.4063,0.8823,7.2189,0.1143,254.967,0.1408,1,12,8,1450000.0,0
-106.7613,0.6364,10.8911,0.2067,394.9046,0.0682,0,12,8,1450000.0,0
-112.4365,0.4686,7.5253,0.4147,447.9242,0.091,0,12,8,1450000.0,0
-103.1362,1.133,13.0426,0.7524,440.6378,0.1074,1,12,8,1450000.0,0
-117.9746,1.0631,9.4806,0.1413,429.077,0.0735,0,12,8,1450000.0,0
-106.1024,0.0954,11.7129,0.2175,173.4875,0.0,0,12,8,1450000.0,0
-113.4573,0.797,6.2298,0.2623,193.6752,0.0314,0,12,8,1450000.0,0
-115.5665,0.5828,6.227,0.5068,355.3126,0.1882,0,12,8,1450000.0,0
-112.0922,0.7752,9.2773,0.297,394.8697,0.1123,0,12,8,1450000.0,0
-108.4055,0.7668,6.8733,0.4621,297.0743,0.0147,0,12,8,1450000.0,0
