meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-106.6000,1.4400,10.3000,1.1725,174.9549,0.0000,0,12,8,1450000.0000,0
-106.4000,0.4400,10.4500,0.3350,184.9688,0.0000,0,12,8,1450000.0000,0
-105.4000,0.6400,11.0750,0.3506,196.6080,0.0000,0,12,8,1450000.0000,0
-104.8000,0.5600,11.7000,0.0475,210.5540,0.0000,0,12,8,1450000.0000,0
-104.7000,0.2100,11.9000,0.0900,221.2496,0.0000,0,12,8,1450000.0000,0
-104.1000,0.2900,12.3500,0.0275,231.0537,0.0000,0,12,8,1450000.0000,0
-103.8000,0.1600,12.4250,0.0256,238.9180,0.0000,0,12,8,1450000.0000,0
-104.0000,0.2000,12.5750,0.0256,246.5726,0.0000,0,12,8,1450000.0000,0
-104.1000,0.2900,12.6000,0.0275,257.4778,0.0000,0,12,8,1450000.0000,0
-104.4000,0.2400,12.6000,0.0275,268.1733,0.0000,0,12,8,1450000.0000,0
-104.2000,0.1600,12.6000,0.0150,278.1348,0.0000,0,12,8,1450000.0000,0
-104.3000,0.2100,12.5750,0.0131,283.7971,0.0000,0,12,8,1450000.0000,0
-104.1000,0.2900,12.6750,0.0506,290.9274,0.0000,0,12,8,1450000.0000,0
-103.9000,0.0900,12.8250,0.0256,297.5858,0.0000,0,12,8,1450000.0000,0
-103.7000,0.4100,12.8750,0.0781,299.2636,0.0000,0,12,8,1450000.0000,0
-103.7000,0.4100,12.9500,0.0225,303.6676,0.0000,0,12,8,1450000.0000,0
-104.1000,0.2900,12.9250,0.0131,307.8095,0.0000,0,12,8,1450000.0000,0
-104.7000,0.4100,12.9500,0.0100,314.5204,0.0000,0,12,8,1450000.0000,0
-104.0000,0.2000,12.9500,0.0225,319.0817,0.0000,0,12,8,1450000.0000,0
-104.5000,0.2500,12.9250,0.0381,324.0624,0.0000,0,12,8,1450000.0000,0
-104.7000,0.4100,12.9000,0.0150,329.3577,0.0000,0,12,8,1450000.0000,0
