meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-101.4250,0.4881,-4.9250,0.7631,-164.0497,0.0000,0,12,8,1450000.0000,1
-101.7750,0.5806,-5.1750,2.7006,-146.6958,0.0000,0,12,8,1450000.0000,1
-100.8250,0.8256,-3.7250,0.0806,-120.7435,0.0000,0,12,8,1450000.0000,1
-101.6000,1.4900,-4.6000,0.2400,-100.5584,0.0000,0,12,8,1450000.0000,1
-102.9750,0.4931,-5.3750,0.0531,-80.3734,0.0000,0,12,8,1450000.0000,1
-103.9000,1.4775,-6.0000,0.2375,-55.6270,0.0000,0,12,8,1450000.0000,1
-102.9500,2.2600,-5.0500,17.4100,-42.4149,0.0000,0,12,8,1450000.0000,1
-103.2500,2.7000,-12.1500,1.1400,-33.6069,0.0000,0,12,8,1450000.0000,1
-104.4000,2.2025,-12.9000,0.2025,-19.9229,0.0000,0,12,8,1450000.0000,1
-104.1000,0.7650,-12.5000,0.1250,-6.8682,0.0000,0,12,8,1450000.0000,1
-104.1250,1.1781,-11.6250,0.1031,10.2236,0.0000,0,12,8,1450000.0000,1
-103.8750,2.0656,-11.4750,0.2056,30.4611,0.0000,0,12,8,1450000.0000,1
-104.2000,0.6725,-11.4000,0.1525,34.3409,0.0000,0,12,8,1450000.0000,1
-105.2000,1.7975,-11.6000,0.0775,40.6847,0.0000,0,12,8,1450000.0000,1
-104.6750,1.2381,-11.1750,0.4131,47.5005,0.0000,0,12,8,1450000.0000,1
-103.2750,1.1556,-8.0750,0.1756,52.9007,0.0000,0,12,8,1450000.0000,1
-102.1750,2.6131,-3.0000,21.1750,58.0387,0.0000,0,12,8,1450000.0000,1
-102.0750,2.2006,-0.6500,0.9400,62.0233,0.0000,0,12,8,1450000.0000,1
-101.2500,0.6625,-1.6500,0.4525,68.9963,0.0000,0,12,8,1450000.0000,1
-102.6000,1.3150,-3.1000,0.2650,66.4273,0.0000,0,12,8,1450000.0000,1
-101.7500,0.9375,-2.5500,0.0975,69.4157,0.0000,0,12,8,1450000.0000,1
-101.4500,0.8475,-2.3500,0.0775,72.2469,0.0000,0,12,8,1450000.0000,1
-101.3750,0.9906,-2.2750,0.1056,71.3556,0.0000,0,12,8,1450000.0000,1
-100.6250,1.2656,-1.6250,0.0156,74.6586,0.0000,0,12,8,1450000.0000,1
-100.4000,0.6400,-1.7000,0.0100,77.6995,0.0000,0,12,8,1450000.0000,1
-100.2500,0.7250,-1.6500,0.0150,83.0997,0.0000,0,12,8,1450000.0000,1
-100.3750,0.6531,-1.5750,0.0131,86.4027,0.0000,0,12,8,1450000.0000,1
-100.6000,0.7150,-1.6000,0.0150,84.6201,0.0000,0,12,8,1450000.0000,1
-99.9750,0.5681,-1.6750,0.0131,88.8144,0.0000,0,12,8,1450000.0000,1
-100.4000,0.8900,-1.5000,0.0000,92.2223,0.0000,0,12,8,1450000.0000,1
-101.2250,1.1681,-2.0250,0.1181,96.4166,0.0000,0,12,8,1450000.0000,1
-100.4250,1.0006,-1.7250,0.0556,105.9586,0.0000,0,12,8,1450000.0000,1
-100.5500,0.6600,-1.5500,0.0100,109.7335,0.0000,0,12,8,1450000.0000,1
-100.6000,1.4275,-1.6000,0.0275,108.8422,0.0000,0,12,8,1450000.0000,1
-100.3500,0.8150,-1.6500,0.0150,108.0558,0.0000,0,12,8,1450000.0000,1
-100.3000,1.0350,-1.6000,0.0150,105.3295,0.0000,0,12,8,1450000.0000,1
-100.5500,1.8350,-1.8500,1.0150,103.8090,0.0000,0,12,8,1450000.0000,1
-99.6750,0.7381,-2.4750,0.3181,105.2770,0.0000,0,12,8,1450000.0000,1
-100.5500,1.8350,-1.8500,1.0150,103.8090,0.0000,0,12,8,1450000.0000,1
