meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-103.1000,0.4900,9.4500,13.9975,-67.2137,0.0000,0,12,8,1450000.0000,1
-102.6500,1.3400,2.5250,5.8181,-36.1234,0.0000,0,12,8,1450000.0000,1
-102.9500,0.5725,-0.4000,4.9275,-8.9129,0.0000,0,12,8,1450000.0000,1
-102.1000,2.2775,-0.7500,0.3875,17.4588,0.0000,0,12,8,1450000.0000,1
-100.8250,0.3756,-0.0250,0.0056,42.1003,0.0000,0,12,8,1450000.0000,1
-102.0250,2.9931,-0.8250,1.0631,62.9670,0.0000,0,12,8,1450000.0000,1
-103.4000,0.1400,-1.9000,0.0900,83.3094,0.0000,0,12,8,1450000.0000,1
-102.9500,0.5725,-1.5500,0.0725,103.7566,0.0000,0,12,8,1450000.0000,1
-103.2000,1.0225,-1.7000,0.2225,124.2562,0.0000,0,12,8,1450000.0000,1
-103.0250,0.2431,-0.2000,4.1600,140.8762,0.0000,0,12,8,1450000.0000,1
-104.0250,5.7306,-3.0250,2.7806,149.1599,0.0000,0,12,8,1450000.0000,1
-101.4000,1.2900,-0.7750,2.9056,160.5894,0.0000,0,12,8,1450000.0000,1
-101.3750,0.7406,-1.5750,0.2006,172.6480,0.0000,0,12,8,1450000.0000,1
-101.1750,0.2881,-1.3750,0.0281,186.5417,0.0000,0,12,8,1450000.0000,1
-100.8750,0.2281,-1.2750,0.0181,196.3459,0.0000,0,12,8,1450000.0000,1
-101.7500,0.5125,1.2250,13.5056,206.1500,0.0000,0,12,8,1450000.0000,1
-100.6000,1.1775,-0.6750,17.8131,224.2904,0.0000,0,12,8,1450000.0000,1
-101.6750,0.8006,-4.4750,2.0806,231.4207,0.0000,0,12,8,1450000.0000,1
-102.4000,0.3275,-5.5000,0.0375,239.4948,0.0000,0,12,8,1450000.0000,1
-102.0500,0.2725,-5.4500,0.0225,245.1571,0.0000,0,12,8,1450000.0000,1
-101.5500,0.2600,-5.3500,0.0400,253.3884,0.0000,0,12,8,1450000.0000,1
-102.5500,0.2350,-5.2500,0.0250,260.8857,0.0000,0,12,8,1450000.0000,1
-101.6250,0.1656,-5.1250,0.0406,269.4840,0.0000,0,12,8,1450000.0000,1
-101.2750,0.3431,-3.2750,0.5431,276.8765,0.0000,0,12,8,1450000.0000,1
-101.0750,0.1506,-2.8750,0.0406,282.6436,0.0000,0,12,8,1450000.0000,1
-101.0000,0.1500,-2.7000,0.0600,288.5157,0.0000,0,12,8,1450000.0000,1
-102.1750,0.4631,-4.1750,0.0131,295.0168,0.0000,0,12,8,1450000.0000,1
-102.3250,0.3756,-4.1250,0.0156,299.4733,0.0000,0,12,8,1450000.0000,1
-102.2250,0.0806,-4.1250,0.0156,303.2482,0.0000,0,12,8,1450000.0000,1
-102.3250,0.0631,-4.2250,0.0181,309.4348,0.0000,0,12,8,1450000.0000,1
-101.4500,0.3600,-3.2500,0.4500,313.7863,0.0000,0,12,8,1450000.0000,1
-101.0750,0.3881,-2.0750,0.5881,317.3515,0.0000,0,12,8,1450000.0000,1
-102.4000,2.7025,4.8250,48.3006,321.1789,0.0000,0,12,8,1450000.0000,1
-101.3250,0.5506,-2.8250,0.7756,326.5790,0.0000,0,12,8,1450000.0000,1
-100.3000,0.2725,-1.4000,0.2025,329.9344,0.0000,0,12,8,1450000.0000,1
-100.6250,0.6031,-1.9250,0.0381,333.3423,0.0000,0,12,8,1450000.0000,1
-100.8500,0.6150,-1.8500,0.0150,332.6607,0.0000,0,12,8,1450000.0000,1
-100.4750,0.3431,-1.7750,0.0181,336.9075,0.0000,0,12,8,1450000.0000,1
-100.3000,0.2850,-1.7000,0.0350,342.5174,0.0000,0,12,8,1450000.0000,1
-100.4750,0.5431,-1.6750,0.0131,345.3485,0.0000,0,12,8,1450000.0000,1
-100.8500,0.8275,-1.8500,0.0275,349.4904,0.0000,0,12,8,1450000.0000,1
-100.6750,0.5756,-1.7750,0.0306,351.0633,0.0000,0,12,8,1450000.0000,1
-100.1500,0.3150,-1.7500,0.0250,354.0517,0.0000,0,12,8,1450000.0000,1
