meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-104.0000,0.0000,2.4333,0.0000,2592.5867,1.0000,16,12,8,0.0000,1
-99.6875,0.2930,-0.3750,0.1406,268.6976,0.8400,8,12,8,1450000.0000,1
-105.2500,0.0000,1.9792,0.0000,2618.7312,1.0000,22,12,8,0.0000,1
-105.4375,0.0000,2.1719,0.0000,2631.5981,1.0000,38,12,8,0.0000,1
-105.4000,0.0000,1.7833,0.0000,2642.3940,1.0000,53,12,8,0.0000,1
-105.7333,0.0000,2.8833,0.0000,2653.9285,1.0000,68,12,8,0.0000,1
-105.9333,0.0000,2.7167,0.0000,2664.3442,1.0000,83,12,8,0.0000,1
-106.0000,0.0000,2.4000,0.0000,2671.3699,1.0000,98,12,8,0.0000,1
-105.2857,0.0000,2.6964,0.0000,2678.1003,1.0000,112,12,8,0.0000,1
-104.5333,0.0000,2.9833,0.0000,2680.4573,1.0000,127,12,8,0.0000,1
-104.2500,0.0000,3.5312,0.0000,2685.6980,1.0000,143,12,8,0.0000,1
-103.8000,0.0000,3.7167,0.0000,2689.4402,1.0000,158,12,8,0.0000,1
-104.4000,0.0000,3.3167,0.0000,2694.1936,1.0000,173,12,8,0.0000,1
-105.0667,0.0000,3.6833,0.0000,2698.5278,1.0000,188,12,8,0.0000,1
-104.7333,0.0000,3.6333,0.0000,2701.0796,1.0000,203,12,8,0.0000,1
-104.8000,0.0000,3.8667,0.0000,2707.0210,1.0000,218,12,8,0.0000,1
-104.6875,0.0000,3.6875,0.0000,2713.1248,1.0000,234,12,8,0.0000,1
-104.0667,0.0000,3.5500,0.0000,2719.4644,1.0000,249,12,8,0.0000,1
-104.1333,0.0000,3.1000,0.0000,2724.8474,1.0000,264,12,8,0.0000,1
-104.4667,0.0000,3.4500,0.0000,2727.8179,1.0000,279,12,8,0.0000,1
-104.0667,0.0000,3.3167,0.0000,2731.1736,1.0000,294,12,8,0.0000,1
-102.6667,0.0000,4.4500,0.0000,2734.5288,1.0000,309,12,8,0.0000,1
-102.2667,0.0000,5.5833,0.0000,2736.5208,1.0000,324,12,8,0.0000,1
-102.9375,0.0000,5.5469,0.0000,2736.6519,1.0000,340,12,8,0.0000,1
-103.0000,0.0000,6.0167,0.0000,2739.0029,1.0000,355,12,8,0.0000,1
-102.8000,0.0000,5.4167,0.0000,2744.8748,1.0000,370,12,8,0.0000,1
-102.8667,0.0000,5.8167,0.0000,2744.9797,1.0000,385,12,8,0.0000,1
-103.0000,0.0000,5.7167,0.0000,2746.0630,1.0000,400,12,8,0.0000,1
-102.9333,0.0000,6.0000,0.0000,2748.2649,1.0000,415,12,8,0.0000,1
-103.2000,0.0000,7.6500,0.0000,2750.4324,1.0000,430,12,8,0.0000,1
-103.0000,0.0000,7.9687,0.0000,2754.0522,1.0000,446,12,8,0.0000,1
-103.0000,0.0000,6.9500,0.0000,2756.2344,1.0000,461,12,8,0.0000,1
-103.0000,0.0000,7.0333,0.0000,2759.2056,1.0000,476,12,8,0.0000,1
-103.0000,0.0000,7.2333,0.0000,2759.4153,1.0000,491,12,8,0.0000,1
-103.0000,0.0000,7.1500,0.0000,2757.4229,1.0000,506,12,8,0.0000,1
-102.6667,0.0000,6.7667,0.0000,2758.6814,1.0000,521,12,8,0.0000,1
-103.0000,0.0000,6.8906,0.0000,2761.4250,1.0000,537,12,8,0.0000,1
-103.9333,0.0000,6.5000,0.0000,2764.7625,1.0000,552,12,8,0.0000,1
