meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-121.8607,1.9974,-13.9836,1.2242,34.3587,0.0855,1,12,8,1450000.0,1
-100.0012,0.7166,-12.0831,2.9774,306.4843,0.0,0,12,8,1450000.0,1
-102.6924,2.4145,-13.5705,2.416,232.5246,0.0,0,12,8,1450000.0,1
-106.8482,0.1097,-5.2177,2.2284,97.8512,0.0629,2,12,8,1450000.0,1
-110.2556,0.8642,-6.1298,4.0763,195.7229,0.0548,0,12,8,1450000.0,1
-102.5195,0.3349,-2.6812,0.4331,324.6568,0.0,0,12,8,1450000.0,1
-102.3549,0.6737,-6.4621,1.2698,349.1337,0.0,0,12,8,1450000.0,1
-121.7106,0.9878,-5.7371,1.0803,-39.1106,0.0974,0,12,8,1450000.0,1
-115.8528,0.6438,-0.9974,3.4987,39.355,0.1035,0,12,8,1450000.0,1
-103.9575,2.171,-5.1076,0.3124,73.0471,0.0,0,12,8,1450000.0,1
-109.201,0.3355,-4.7345,0.5075,280.8198,0.0422,0,12,8,1450000.0,1
-116.475,2.5496,-12.8971,1.7331,-18.2989,0.1729,1,12,8,1450000.0,1
-102.4969,2.2507,-2.4373,2.2092,-43.4734,0.0,0,12,8,1450000.0,1
-103.7248,1.6587,-6.3587,0.5036,-40.0827,0.0,0,12,8,1450000.0,1
-99.8791,1.8776,-4.7223,1.0252,25.1681,0.0625,0,12,8,1450000.0,1
-114.1343,0.2883,-11.691,0.1105,201.7356,0.0806,1,12,8,1450000.0,1
-101.1623,1.4997,4.4069,1.6104,146.145,0.0,0,12,8,1450000.0,1
-104.3965,0.103,-3.2227,1.7777,-20.9628,0.0,0,12,8,1450000.0,1
-100.7317,0.3058,4.4268,1.1395,4.9172,0.0,0,12,8,1450000.0,1
-114.5731,2.2605,-4.6175,1.213,163.7653,0.0035,2,12,8,1450000.0,1
-114.0681,1.1189,-6.5885,1.4798,331.9859,0.0915,0,12,8,1450000.0,1
-109.874,1.491,-4.5801,3.1325,116.6963,0.0017,2,12,8,1450000.0,1
-101.5639,0.1505,-11.8569,2.2396,-11.4833,0.0,0,12,8,1450000.0,1
-117.2437,0.6055,-3.2558,0.4629,266.6554,0.0773,0,12,8,1450000.0,1
-114.8589,2.315,-12.6224,2.6879,128.8911,0.0647,1,12,8,1450000.0,1
-104.2579,3.4176,-12.0817,2.1889,36.7915,0.0,0,12,8,1450000.0,1
-119.513,1.5975,-4.6699,2.7402,152.3334,0.0491,0,12,8,1450000.0,1
-109.5792,1.5412,-9.0333,0.3472,-55.6841,0.1618,0,12,8,1450000.0,1
-117.0019,3.1661,-12.9447,0.0642,357.0549,0.1719,0,12,8,1450000.0,1
-111.9816,1.9134,-5.6545,1.7403,79.6959,0.1538,0,12,8,1450000.0,1
-118.6856,1.6785,-4.1223,2.475,-35.4773,0.0628,0,12,8,1450000.0,1
-106.9777,2.3463,-9.6364,0.4295,-7.4022,0.1229,1,12,8,1450000.0,1
-110.032,0.848,-3.0541,3.9634,345.066,0.0649,2,12,8,1450000.0,1
-100.7953,3.793,-0.6128,2.2673,338.6951,0.0,0,12,8,1450000.0,1
-116.6756,2.4617,-5.3207,0.2811,292.4704,0.1258,0,12,8,1450000.0,1
-116.8015,2.2808,-11.5641,3.2901,293.9622,0.0152,2,12,8,1450000.0,1
-115.6535,0.9075,-1.1565,0.5455,240.6555,0.0505,0,12,8,1450000.0,1
-116.345,1.7482,-5.6686,4.4063,269.6238,0.1582,0,12,8,1450000.0,1
-102.4778,0.977,-5.7297,2.4389,-6.4979,0.0,0,12,8,1450000.0,1
-115.7917,0.5791,-4.5453,0.5237,-44.5241,0.0105,0,12,8,1450000.0,1
-109.1582,0.149,-8.9925,0.5843,220.7424,0.1509,1,12,8,1450000.0,1
-101.6664,0.3785,0.5968,2.5723,345.7929,0.0,0,12,8,1450000.0,1
-115.6211,1.8331,-8.6155,0.3595,254.7018,0.1394,0,12,8,1450000.0,1
-101.8192,1.2664,-0.7904,1.2528,246.7795,0.2455,0,12,8,1450000.0,1
-121.4972,2.4169,-9.6883,2.3543,113.8677,0.0888,1,12,8,1450000.0,1
-110.5418,2.2256,-3.8107,4.206,193.7306,0.1581,0,12,8,1450000.0,1
-110.538,0.1136,-10.4434,1.8077,300.2132,0.0298,2,12,8,1450000.0,1
-108.115,1.2196,-3.0037,4.3543,226.7766,0.0144,1,12,8,1450000.0,1
-113.9675,1.5399,-2.6204,2.4544,348.284,0.1237,0,12,8,1450000.0,1
-99.9234,1.3696,3.1596,2.2496,-63.1336,0.0,0,12,8,1450000.0,1
-104.4167,1.6316,-0.2582,2.3508,45.4848,0.0,0,12,8,1450000.0,1
-116.1616,2.2043,1.1322,3.7231,223.3059,0.1516,0,12,8,1450000.0,1
-101.8247,0.985,3.2308,2.2851,-5.3574,0.0,0,12,8,1450000.0,1
-100.1404,1.5194,-6.1415,0.6865,280.1428,0.0625,0,12,8,1450000.0,1
-102.6997,4.8926,-1.1082,0.4961,225.4983,0.0,0,12,8,1450000.0,1
-113.9195,1.3362,-9.8438,4.0001,287.4874,0.065,0,12,8,1450000.0,1
-115.4389,0.3041,-9.6699,0.6291,34.0575,0.0133,0,12,8,1450000.0,1
-100.0279,1.3774,-5.5571,1.6869,273.8001,0.0,0,12,8,1450000.0,1
-101.7272,1.3783,-5.1914,1.3696,41.12,0.0,0,12,8,1450000.0,1
-118.2764,0.9537,-11.7303,4.1816,303.8977,0.0092,2,12,8,1450000.0,1
-110.8231,1.9873,-11.6456,0.4386,299.4441,0.1052,0,12,8,1450000.0,1
-108.6344,1.5338,-2.9028,3.4794,180.2648,0.0062,0,12,8,1450000.0,1
-101.6661,1.0351,-4.3461,1.7913,62.3966,0.0,0,12,8,1450000.0,1
-119.0414,2.4557,-5.8155,4.4486,117.2225,0.1378,0,12,8,1450000.0,1
-119.7031,1.8053,-11.0063,0.248,44.5906,0.1283,0,12,8,1450000.0,1
-99.8847,1.2543,-2.7756,0.639,-0.4355,0.0625,0,12,8,1450000.0,1
-107.1412,2.9485,-1.1258,0.7754,-46.07,0.0141,0,12,8,1450000.0,1
-113.8819,1.9981,-8.2395,0.2277,107.1635,0.171,2,12,8,1450000.0,1
-114.2762,1.081,-9.9686,4.459,145.2373,0.1521,2,12,8,1450000.0,1
-101.0247,0.8806,0.7019,0.0426,268.3272,0.0,0,12,8,1450000.0,1
-101.5453,0.7116,-5.5409,0.4074,-44.0175,0.0,0,12,8,1450000.0,1
-101.3352,0.2517,-0.2592,1.7084,50.6498,0.1,0,12,8,1450000.0,1
-100.3481,0.9908,-0.0344,2.9642,146.0621,0.0,0,12,8,1450000.0,1
-119.7229,0.7582,-3.6461,1.5837,2.5294,0.0548,0,12,8,1450000.0,1
-109.0267,1.9516,-0.0681,3.2496,-11.6997,0.1033,0,12,8,1450000.0,1
-110.6737,2.8493,-9.9817,0.3872,210.196,0.1715,1,12,8,1450000.0,1
-103.8111,1.8588,-13.5492,2.0415,354.0105,0.0,0,12,8,1450000.0,1
-100.9553,0.1342,-1.4512,0.9886,91.5447,0.1,0,12,8,1450000.0,1
-103.5228,0.4002,-3.1503,1.754,193.9045,0.0,0,12,8,1450000.0,1
-103.9904,2.1315,-5.4896,1.3263,143.5116,0.0,0,12,8,1450000.0,1
-104.2495,1.8591,-14.6325,2.3398,59.3001,0.0,0,12,8,1450000.0,1
-101.2901,2.2468,-4.6865,2.3868,283.3,0.0,0,12,8,1450000.0,1
-103.9965,2.08,-2.9057,1.641,-26.8503,0.1,0,12,8,1450000.0,1
-103.9535,2.4634,-11.8163,2.6595,189.0443,0.0,0,12,8,1450000.0,1
-100.7078,0.1986,-4.3894,2.7981,336.6543,0.0,0,12,8,1450000.0,1
-114.9934,0.7843,-11.0619,0.288,-17.6155,0.0088,0,12,8,1450000.0,1
-113.4645,0.5026,-0.6448,3.7272,221.9017,0.1494,0,12,8,1450000.0,1
-103.5401,1.3769,-4.6428,1.1239,-1.8743,0.0,0,12,8,1450000.0,1
-115.5108,1.8101,-0.1462,2.6132,63.7223,0.113,0,12,8,1450000.0,1
-111.1199,2.7041,-3.1464,2.3325,331.0656,0.1673,0,12,8,1450000.0,1
-103.0154,5.2078,-12.4276,0.4893,87.6134,0.0,0,12,8,1450000.0,1
-108.2402,1.0901,-10.8361,0.0556,-64.6712,0.0649,2,12,8,1450000.0,1
-100.7177,0.4431,-13.2157,45.2491,255.045,0.0,0,12,8,1450000.0,1
-103.2488,1.8095,-0.7018,2.7465,-20.4888,0.0,0,12,8,1450000.0,1
-102.1111,3.1361,-13.2263,0.031,283.8047,0.0,0,12,8,1450000.0,1
-100.9924,1.9421,-7.1134,2.1938,284.5612,0.0,0,12,8,1450000.0,1
-117.3179,3.1014,-5.9736,2.2991,44.2507,0.057,2,12,8,1450000.0,1
-115.3399,1.6379,-11.0214,1.5838,146.3257,0.1771,0,12,8,1450000.0,1
-100.6735,2.3659,-0.2162,0.6495,351.9765,0.0,0,12,8,1450000.0,1
-99.8373,1.4881,-2.5903,1.9936,210.0238,0.0625,0,12,8,1450000.0,1
-102.3912,0.2359,-9.472,1.5795,-56.1918,0.0,0,12,8,1450000.0,1
-113.8583,0.5392,-9.1988,0.8563,42.1901,0.0186,2,12,8,1450000.0,1
-102.5873,2.2506,-4.6928,0.6135,162.9579,0.0,0,12,8,1450000.0,1
-99.8474,2.0257,-0.5469,1.5719,294.7845,0.0,0,12,8,1450000.0,1
-113.7157,3.1041,-4.6189,3.8244,239.3884,0.0023,1,12,8,1450000.0,1
-103.9002,1.5134,-3.2054,1.7131,102.1797,0.0,0,12,8,1450000.0,1
-117.3731,1.6624,-0.2821,3.4477,179.7078,0.139,0,12,8,1450000.0,1
-101.088,4.8605,-3.2914,0.3266,111.1368,0.0,0,12,8,1450000.0,1
-114.6126,1.3387,-11.9772,0.845,31.9639,0.0974,0,12,8,1450000.0,1
-101.0401,2.049,-3.2436,0.0314,151.113,0.0,0,12,8,1450000.0,1
-102.5509,0.5352,5.0662,2.4165,-39.3845,0.0,0,12,8,1450000.0,1
-101.2987,1.0852,-4.422,2.1018,186.8554,0.0,0,12,8,1450000.0,1
-101.947,1.7748,-4.8106,2.3979,-22.9281,0.0,0,12,8,1450000.0,1
-101.8117,0.3915,-3.0757,1.0681,334.415,0.1,0,12,8,1450000.0,1
-101.0803,1.3643,-6.2063,0.6626,-6.7412,0.0,0,12,8,1450000.0,1
-108.3987,1.3576,0.4928,0.373,-14.8151,0.0358,1,12,8,1450000.0,1
-120.5008,0.1115,-1.1542,1.7763,300.598,0.1519,2,12,8,1450000.0,1
-100.3637,5.5752,-14.8327,2.0821,296.0345,0.0,0,12,8,1450000.0,1
-114.1526,1.6012,-8.1032,1.7708,-6.1363,0.1171,2,12,8,1450000.0,1
-99.843,0.424,-12.811,1.9144,122.0845,0.0,0,12,8,1450000.0,1
-109.939,1.1261,-7.6857,1.1907,20.9032,0.0416,2,12,8,1450000.0,1
-116.5922,2.0474,-6.3057,4.385,327.622,0.0599,1,12,8,1450000.0,1
-115.5048,0.8449,0.3401,1.1968,300.1871,0.0844,0,12,8,1450000.0,1
-121.354,0.3973,-1.0071,1.2958,-1.2052,0.0815,0,12,8,1450000.0,1
-109.0128,2.0963,-8.785,1.9243,64.7184,0.0134,0,12,8,1450000.0,1
-114.8378,0.9982,-5.7992,2.172,-6.371,0.0791,0,12,8,1450000.0,1
-110.7011,0.2745,-5.2918,1.3602,-14.8291,0.0347,0,12,8,1450000.0,1
-114.1141,2.7662,-9.72,2.715,-8.296,0.1412,0,12,8,1450000.0,1
-112.0178,1.5212,-5.5746,0.3272,-2.2868,0.1154,0,12,8,1450000.0,1
-108.6252,1.9259,-6.9589,1.0858,343.0706,0.0676,1,12,8,1450000.0,1
-107.7465,1.3284,-8.5583,1.8951,280.0496,0.0424,0,12,8,1450000.0,1
-102.3842,1.1733,-4.002,2.8503,75.8685,0.0,0,12,8,1450000.0,1
