meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-133.5937,2.6818,-11.3463,2.2328,-5.5179,0.0,0,12,8,1450000.0,2
-132.6203,0.8432,-9.2808,0.6969,-2.886,0.0,0,12,8,1450000.0,2
-132.3854,1.7503,-10.0136,1.5866,3.7292,0.0,0,12,8,1450000.0,2
-132.3937,0.6544,-9.5791,0.5091,7.17,0.0,0,12,8,1450000.0,2
-130.717,1.93,-7.6698,1.9893,10.1874,0.0,0,12,8,1450000.0,2
-132.3214,0.3995,-8.8047,0.3231,13.2506,0.0,0,12,8,1450000.0,2
-131.0767,0.2494,-7.9486,0.1882,15.7218,0.0,0,12,8,1450000.0,2
-130.0243,1.0312,-7.1281,0.9145,20.6331,0.0,0,12,8,1450000.0,2
-132.4678,1.3375,-9.74,1.0348,25.272,0.0,0,12,8,1450000.0,2
-134.1507,0.5711,-10.6249,0.3738,28.4321,0.0,0,12,8,1450000.0,2
-131.0222,1.1054,-7.7594,0.8685,32.3732,0.0,0,12,8,1450000.0,2
-129.8256,3.1539,-7.6862,2.3008,36.1619,0.0,0,12,8,1450000.0,2
-131.9668,1.0721,-9.0028,0.9451,43.1447,0.0,0,12,8,1450000.0,2
-131.4577,1.7222,-8.8179,1.2096,47.5998,0.0,0,12,8,1450000.0,2
-129.7057,0.4261,-6.7038,0.3773,55.0271,0.0,0,12,8,1450000.0,2
-129.1383,0.4568,-7.2081,0.3151,60.4257,0.0,0,12,8,1450000.0,2
-132.0333,1.5804,-8.4383,1.2405,63.6741,0.0,0,12,8,1450000.0,2
-129.8609,0.2116,-7.2828,0.191,73.1552,0.0,0,12,8,1450000.0,2
-131.0042,1.6651,-8.974,1.3772,75.3804,0.0,0,12,8,1450000.0,2
-129.1144,1.2284,-6.5212,0.8835,80.0781,0.0,0,12,8,1450000.0,2
-132.836,1.2051,-9.7165,1.1617,87.4681,0.0,0,12,8,1450000.0,2
-131.9751,0.3296,-9.855,0.2909,90.8094,0.0,0,12,8,1450000.0,2
-132.5799,0.0941,-9.2094,0.0957,96.9356,0.0,0,12,8,1450000.0,2
-131.1723,1.6156,-8.1906,1.1956,138.1946,0.0,0,12,8,1450000.0,2
-130.9497,0.3436,-8.0407,0.2764,143.9339,0.0,0,12,8,1450000.0,2
-131.0609,0.0692,-7.26,0.0576,147.9873,0.0,0,12,8,1450000.0,2
-132.2636,0.4073,-9.7698,0.4193,161.9222,0.0,0,12,8,1450000.0,2
-132.8983,3.0625,-9.7601,2.4641,166.7539,0.0,0,12,8,1450000.0,2
-131.3183,0.3222,-9.1501,0.2237,174.6493,0.0,0,12,8,1450000.0,2
-130.7906,9.3565,-7.8193,8.8747,183.8246,0.0,0,12,8,1450000.0,2
-132.4052,0.4654,-8.6603,0.39,193.4686,0.0,0,12,8,1450000.0,2
-132.8905,0.1099,-10.0632,0.086,197.6111,0.0,0,12,8,1450000.0,2
-132.5009,0.1629,-9.8126,0.1335,218.8043,0.0,0,12,8,1450000.0,2
-133.4221,1.4389,-10.1135,0.8896,226.9636,0.0,0,12,8,1450000.0,2
-132.3772,0.2425,-9.6622,0.2207,235.8809,0.0,0,12,8,1450000.0,2
-130.9923,0.9057,-7.6159,0.7907,240.1059,0.0,0,12,8,1450000.0,2
-131.5525,0.6851,-8.5644,0.5737,261.4015,0.0,0,12,8,1450000.0,2
-135.1377,3.4861,-12.5611,2.76,266.4764,0.0,0,12,8,1450000.0,2
-131.8325,15.2267,-10.1438,12.2422,273.4284,0.0,0,12,8,1450000.0,2
-129.5797,13.4557,-7.637,13.8529,280.773,0.3,0,12,8,1450000.0,2
-131.0721,0.4223,-7.2922,0.3053,311.7004,0.09,0,12,8,1450000.0,2
-133.2861,2.0194,-10.4855,1.7021,325.2708,0.2,0,12,8,1450000.0,2
-130.3068,4.1999,-7.9153,3.5748,344.8,0.1,0,12,8,1450000.0,2
-131.3663,4.4215,-7.8663,3.7399,382.7826,0.0,0,12,8,1450000.0,2
-132.7325,8.8258,-9.6698,7.2827,386.6445,0.0,0,12,8,1450000.0,2
-135.2802,3.1102,-12.357,2.6044,397.1531,0.1,0,12,8,1450000.0,2
-134.9982,33.4304,-12.1405,27.2112,401.1137,0.0,0,12,8,1450000.0,2
-133.8624,10.7087,-10.643,10.6188,410.5599,0.0,0,12,8,1450000.0,2
-132.4186,2.7318,-10.1658,2.4504,429.833,0.0,0,12,8,1450000.0,2
-134.2739,7.6671,-12.1387,6.2365,442.2559,0.0,0,12,8,1450000.0,2
