meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-117.5750,2.8506,-6.4750,1.3056,-536.8709,0.0000,0,8,5,83000.0000,1
-116.6750,1.6506,-5.0250,7.8306,-538.5487,0.0000,0,8,5,83000.0000,1
-116.0750,0.9631,-3.2750,4.8431,-537.7098,0.0000,0,8,5,83000.0000,1
-115.6750,0.7631,-4.3750,0.1781,-534.3544,0.0000,0,8,5,83000.0000,1
-114.8250,3.2506,-4.3250,0.4756,-536.0321,0.0000,0,8,5,83000.0000,1
-114.1250,2.4156,-3.8250,0.7506,-537.7098,0.0000,0,8,5,83000.0000,1
-113.5250,2.4806,-3.3250,0.8006,-535.1932,0.0000,0,8,5,83000.0000,1
-112.8750,0.4656,-3.4750,0.3056,-541.0652,0.0000,0,8,5,83000.0000,1
-113.6250,0.9906,-3.8250,0.1006,-541.0652,0.0000,0,8,5,83000.0000,1
-114.8250,3.2756,-4.5250,1.0806,-537.7098,0.0000,0,8,5,83000.0000,1
-112.4750,1.1056,-3.0750,0.3256,-538.5486,0.0000,0,8,5,83000.0000,1
-114.2250,1.4931,-3.8250,0.1131,-540.2264,0.0000,0,8,5,83000.0000,1
-114.4000,2.9525,-3.8000,0.1225,-540.2264,0.0000,0,8,5,83000.0000,1
-113.7750,1.2306,-4.0750,0.0756,-544.4206,0.0000,0,8,5,83000.0000,1
-114.2000,1.4975,-3.8000,0.3975,-546.9372,0.0000,0,8,5,83000.0000,1
-114.4500,2.2100,-4.0500,0.6100,-547.7761,0.0000,0,8,5,83000.0000,1
-115.8250,0.4506,-5.7250,0.0556,-541.9041,0.0000,0,8,5,83000.0000,1
-116.5500,2.1350,-5.1500,0.3150,-550.2927,0.0000,0,8,5,83000.0000,1
-112.3500,1.3275,-1.7000,1.9850,-542.7429,0.0000,0,8,5,83000.0000,1
-113.7000,1.5225,-4.6000,13.0150,-550.2927,0.0000,0,8,5,83000.0000,1
-117.0250,0.5306,-9.6250,0.6906,-549.4538,0.0000,0,8,5,83000.0000,1
-117.2750,0.8056,-9.7750,1.6806,-549.4537,0.0000,0,8,5,83000.0000,1
-117.2250,0.3556,-9.9250,0.5506,-541.9041,0.0000,0,8,5,83000.0000,1
-117.5250,0.5931,-9.9250,0.2131,-536.0320,0.0000,0,8,5,83000.0000,1
-117.0500,0.7725,-9.7500,0.4125,-552.8092,0.0000,0,8,5,83000.0000,1
-117.8000,0.1975,-9.9000,0.3775,-548.6149,0.0000,0,8,5,83000.0000,1
-117.4500,1.2725,-9.9500,0.3225,-551.1315,0.0000,0,8,5,83000.0000,1
-116.2000,1.1100,-9.2000,1.8100,-556.1647,0.1667,0,8,5,83000.0000,1
-116.2500,0.6125,-9.3500,0.3525,-541.9041,0.0000,0,8,5,83000.0000,1
-116.4250,2.2631,-9.3250,0.7881,-539.3875,0.0000,0,8,5,83000.0000,1
-117.1500,0.6900,-9.8500,0.1400,-557.0036,0.0000,0,8,5,83000.0000,1
-117.0500,1.6850,-9.5500,0.5850,-531.8377,0.2857,0,8,5,83000.0000,1
-115.6250,1.5281,-8.6250,1.7781,-528.4823,0.0000,0,8,5,83000.0000,1
-116.2750,1.1556,-8.7750,0.5306,-532.6766,0.0000,0,8,5,83000.0000,1
-116.1750,0.3881,-8.9750,0.3681,-541.0652,0.0000,0,8,5,83000.0000,1
-115.4250,0.3381,-8.9250,0.0631,-544.4206,0.0000,0,8,5,83000.0000,1
-116.1500,0.5650,-8.8500,0.7150,-547.7761,0.0000,0,8,5,83000.0000,1
-115.9000,0.6275,-8.8000,1.1975,-536.8710,0.0000,0,8,5,83000.0000,1
-116.2000,0.9350,-8.1000,1.4650,-554.4870,0.0000,0,8,5,83000.0000,1
-115.5500,0.4850,-5.5500,1.9350,-540.2264,0.0000,0,8,5,83000.0000,1
-114.7750,0.2806,-3.9750,0.9806,-536.8709,0.0000,0,8,5,83000.0000,1
-114.4000,0.9525,-3.6000,0.3025,-537.7097,0.0000,0,8,5,83000.0000,1
