meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-110.4167,0.3472,-6.0833,0.0139,-457.1791,0.0000,0,8,5,83000.0000,1
-109.3125,0.0430,-5.5625,0.9492,-459.2763,0.0000,0,8,5,83000.0000,1
-111.9167,0.0556,-6.9167,0.0556,-476.7526,0.0000,0,8,5,83000.0000,1
-111.0625,2.4805,-6.3125,0.2617,-455.0820,0.0000,0,8,5,83000.0000,1
-111.5000,0.2917,-6.5000,0.2917,-465.5677,0.0000,0,8,5,83000.0000,1
-110.0000,0.1250,-5.6667,0.0139,-471.1602,0.0000,0,8,5,83000.0000,1
-109.4167,0.1806,-5.4167,0.1806,-471.1602,0.0000,0,8,5,83000.0000,1
-109.3125,0.1367,-5.3125,0.1367,-484.4421,0.0000,0,8,5,83000.0000,1
-110.0000,0.3750,-5.0000,0.0417,-490.7336,0.0000,0,8,5,83000.0000,1
-109.5000,0.3750,-4.8333,0.0972,-496.3260,0.0000,0,8,5,83000.0000,1
-112.3333,0.0556,-8.3333,0.0556,-493.5298,0.0000,0,8,5,83000.0000,1
-113.5833,0.5139,-8.2500,0.1250,-499.1222,0.0000,0,8,5,83000.0000,1
-113.1875,1.7305,-7.6875,1.1680,-503.3165,0.0000,0,8,5,83000.0000,1
-109.6667,0.0972,-5.3333,0.0972,-501.9184,0.0000,0,8,5,83000.0000,1
-110.2500,1.2917,-5.9167,0.0139,-485.1411,0.0000,0,8,5,83000.0000,1
-109.7500,0.2812,-5.7500,0.2812,-507.5108,0.0000,0,8,5,83000.0000,1
-110.1667,0.8472,-4.8333,1.3472,-499.1222,0.0000,0,8,5,83000.0000,1
-109.0000,0.1250,-4.0000,0.1250,-493.5298,0.8800,0,8,5,83000.0000,1
-108.4167,0.1806,-3.0833,0.0139,-496.3260,0.0000,0,8,5,83000.0000,1
-108.3333,0.0139,-4.0000,0.7917,-504.7146,0.0000,0,8,5,83000.0000,1
-109.1875,0.2305,-4.1875,0.2305,-490.7336,0.0000,0,8,5,83000.0000,1
-109.1667,0.0556,-5.1667,0.3889,-501.9184,0.0000,0,8,5,83000.0000,1
-109.2500,0.0417,-4.2500,0.0417,-504.7146,0.0000,0,8,5,83000.0000,1
-109.3750,0.0781,-4.3750,0.0781,-501.2193,0.0000,0,8,5,83000.0000,1
-109.6667,0.4306,-3.6667,0.5972,-510.3070,0.0000,0,8,5,83000.0000,1
-109.1667,0.0139,-4.5000,0.1250,-510.3070,0.0000,0,8,5,83000.0000,1
-108.4375,0.8242,-3.6875,1.1680,-501.2193,0.0000,0,8,5,83000.0000,1
-108.8333,0.4306,-3.5000,0.0417,-496.3260,0.0000,0,8,5,83000.0000,1
-108.5000,0.5000,-3.8333,1.0556,-501.9184,0.0000,0,8,5,83000.0000,1
-108.7500,0.4062,-3.7500,1.0313,-501.2193,0.0000,0,8,5,83000.0000,1
-109.6667,0.7222,-3.6667,1.7222,-510.3070,0.0000,0,8,5,83000.0000,1
-109.6250,0.2656,-3.6250,0.2656,-503.3165,0.0000,0,8,5,83000.0000,1
-109.7500,0.0417,-4.4167,0.2639,-510.3070,0.0000,0,8,5,83000.0000,1
-109.5833,0.2639,-4.5833,0.0972,-501.9184,0.0000,0,8,5,83000.0000,1
-109.5625,0.4180,-4.0625,0.2305,-511.7051,0.0000,0,8,5,83000.0000,1
-109.0833,0.1806,-3.7500,0.2917,-493.5298,0.0000,0,8,5,83000.0000,1
-109.5833,0.0972,-4.2500,0.0417,-507.5108,0.0000,0,8,5,83000.0000,1
-109.1250,0.2969,-3.8750,0.4219,-507.5108,0.0000,0,8,5,83000.0000,1
-109.1667,0.7222,-4.1667,2.3889,-504.7146,0.0000,0,8,5,83000.0000,1
-109.7500,0.1667,-3.7500,0.5000,-496.3260,0.0000,0,8,5,83000.0000,1
-109.6250,0.3281,-3.8750,0.8281,-507.5108,0.0000,0,8,5,83000.0000,1
-109.4167,0.5972,-4.7500,0.3750,-501.9184,0.0000,0,8,5,83000.0000,1
-109.4167,0.0556,-5.7500,0.5000,-507.5108,0.0000,0,8,5,83000.0000,1
-109.3125,0.2617,-4.5625,0.6680,-507.5108,0.0000,0,8,5,83000.0000,1
-109.5000,0.0000,-4.5000,0.0000,-493.5298,0.0000,0,8,5,83000.0000,1
-109.8125,0.2305,-4.8125,0.1055,-507.5108,0.0000,0,8,5,83000.0000,1
-110.0833,0.2639,-4.7500,0.8750,-513.1032,0.0000,0,8,5,83000.0000,1
-109.7500,0.5000,-3.7500,3.5000,-510.3070,0.0000,0,8,5,83000.0000,1
-109.2500,0.0937,-4.0000,0.0312,-513.8022,0.0000,0,8,5,83000.0000,1
-109.1667,0.2639,-4.5000,0.0417,-496.3260,0.0000,0,8,5,83000.0000,1
-109.9167,0.0972,-5.2500,0.0417,-504.7146,0.0000,0,8,5,83000.0000,1
-109.4375,0.1992,-4.4375,0.1992,-499.1222,0.0000,0,8,5,83000.0000,1
-110.4167,0.5139,-5.0833,0.1806,-510.3070,0.0000,0,8,5,83000.0000,1
-109.5000,0.2917,-4.8333,0.1806,-510.3070,0.0000,0,8,5,83000.0000,1
-111.1250,0.6406,-5.8750,0.7656,-517.9966,0.0000,0,8,5,83000.0000,1
-109.9167,0.2222,-4.5833,0.8889,-513.1032,0.0000,0,8,5,83000.0000,1
-110.9167,1.3472,-4.9167,0.1806,-510.3070,0.0000,0,8,5,83000.0000,1
-109.6250,0.1719,-4.3750,0.5469,-517.9966,0.0000,0,8,5,83000.0000,1
-110.1667,0.3889,-4.8333,0.7222,-510.3070,0.0000,0,8,5,83000.0000,1
-109.8125,0.2930,-5.5625,0.0117,-515.8994,0.0000,0,8,5,83000.0000,1
-110.9167,1.0139,-5.9167,1.5139,-504.7146,0.0000,0,8,5,83000.0000,1
-112.1667,0.0139,-7.1667,0.0139,-521.4918,0.0000,0,8,5,83000.0000,1
-112.6875,0.8555,-7.6875,0.1055,-522.1909,0.0000,0,8,5,83000.0000,1
-112.5000,0.3750,-8.1667,0.0972,-513.1032,0.0000,0,8,5,83000.0000,1
-112.3333,0.2639,-7.0000,1.0417,-510.3070,0.0000,0,8,5,83000.0000,1
-111.6250,1.0156,-6.1250,0.3906,-511.7051,0.0000,0,8,5,83000.0000,1
-113.5000,0.3750,-6.8333,0.0972,-521.4919,0.0000,0,8,5,83000.0000,1
-113.8333,0.0972,-8.1667,0.0972,-510.3070,0.0000,0,8,5,83000.0000,1
-112.7500,0.3125,-7.2500,0.0625,-522.1909,0.0000,0,8,5,83000.0000,1
-113.5000,0.5417,-7.1667,0.4306,-515.8994,0.0000,0,8,5,83000.0000,1
-111.9167,1.0972,-6.2500,0.5417,-515.8994,0.0000,0,8,5,83000.0000,1
-108.0000,0.0625,-4.7500,0.1250,-522.1909,0.0000,0,8,5,83000.0000,1
-108.7500,0.2917,-5.4167,0.3472,-527.0842,0.0000,0,8,5,83000.0000,1
-111.7500,0.0937,-6.7500,1.2188,-515.8994,0.0000,0,8,5,83000.0000,1
-111.9167,0.8889,-5.9167,0.2222,-515.8994,0.0000,0,8,5,83000.0000,1
-112.3333,0.0972,-7.0000,0.3750,-507.5108,0.0000,0,8,5,83000.0000,1
-112.3750,0.3281,-7.8750,0.0781,-513.8022,0.0000,0,8,5,83000.0000,1
-109.7500,0.1667,-5.4167,1.0556,-515.8994,0.0000,0,8,5,83000.0000,1
-109.7500,0.3750,-4.0833,1.2639,-510.3070,0.0000,0,8,5,83000.0000,1
-108.9375,1.1680,-4.1875,0.8867,-509.6080,0.0000,0,8,5,83000.0000,1
-108.6667,0.8472,-4.3333,0.1806,-513.1032,0.0000,0,8,5,83000.0000,1
-109.8333,1.5139,-4.5000,0.2917,-510.3070,0.0000,0,8,5,83000.0000,1
-108.9375,0.4805,-4.4375,0.0430,-511.7051,0.0000,0,8,5,83000.0000,1
-109.5833,1.0139,-4.9167,0.6806,-501.9184,0.0000,0,8,5,83000.0000,1
-109.5000,0.1667,-4.8333,0.0556,-515.8994,0.0000,0,8,5,83000.0000,1
-109.8125,2.8555,-4.3125,0.0430,-515.8994,0.0000,0,8,5,83000.0000,1
-110.2500,0.0417,-5.5833,0.2639,-513.1032,0.0000,0,8,5,83000.0000,1
-111.6875,0.3867,-7.6875,0.1367,-505.4136,0.0000,0,8,5,83000.0000,1
-112.8333,2.7639,-8.1667,0.2639,-507.5108,0.0000,0,8,5,83000.0000,1
-110.8333,1.8472,-7.1667,0.0139,-510.3070,0.0000,0,8,5,83000.0000,1
-111.8125,0.6992,-7.0625,0.2305,-517.9966,0.0000,0,8,5,83000.0000,1
-112.3333,1.3472,-7.6667,0.0139,-521.4918,0.0000,0,8,5,83000.0000,1
-110.7500,1.1250,-5.0000,1.3125,-511.7051,0.0000,0,8,5,83000.0000,1
-109.6667,0.2639,-5.3333,0.0972,-513.1032,0.0000,0,8,5,83000.0000,1
-109.6667,0.0972,-5.6667,1.4306,-524.2880,0.0000,0,8,5,83000.0000,1
-110.6250,2.2031,-6.6250,0.0781,-520.0937,0.0000,0,8,5,83000.0000,1
-110.6667,2.1806,-6.6667,0.0139,-527.0842,0.0000,0,8,5,83000.0000,1
-110.3333,0.0139,-5.6667,0.1806,-521.4919,0.0000,0,8,5,83000.0000,1
-109.8750,0.6719,-5.1250,0.0469,-520.0937,0.0000,0,8,5,83000.0000,1
-111.5000,1.5417,-5.1667,0.0972,-527.0842,0.0000,0,8,5,83000.0000,1
-109.2500,0.0937,-4.2500,0.2187,-526.3851,0.0000,0,8,5,83000.0000,1
-109.2500,1.2917,-4.2500,0.1250,-527.0842,0.0000,0,8,5,83000.0000,1
-110.3333,1.7222,-4.3333,0.0556,-529.8804,0.0000,0,8,5,83000.0000,1
-109.0625,0.2305,-4.3125,0.0117,-524.2880,0.0000,0,8,5,83000.0000,1
-109.5833,0.5139,-5.2500,0.1250,-510.3070,0.0000,0,8,5,83000.0000,1
-110.2500,1.7917,-4.5833,0.3472,-521.4919,0.0000,0,8,5,83000.0000,1
-110.2500,1.6250,-4.7500,0.1250,-522.1909,0.0000,0,8,5,83000.0000,1
-109.1667,0.0556,-4.1667,0.0556,-529.8804,0.0000,0,8,5,83000.0000,1
-109.4167,0.0139,-4.4167,0.0139,-524.2880,0.0000,0,8,5,83000.0000,1
-109.4375,0.2305,-4.6875,0.3242,-524.2880,0.0000,0,8,5,83000.0000,1
-110.2500,1.1250,-5.2500,0.1250,-527.0842,0.0000,0,8,5,83000.0000,1
-110.1667,0.0972,-6.1667,0.0972,-513.1032,0.0000,0,8,5,83000.0000,1
-110.5625,3.3867,-5.3125,0.6055,-520.0937,0.0000,0,8,5,83000.0000,1
-110.3333,0.0139,-5.6667,0.1806,-513.1032,0.0000,0,8,5,83000.0000,1
-109.8125,0.1055,-5.0625,0.3867,-520.0937,0.0000,0,8,5,83000.0000,1
-110.6667,0.2222,-5.6667,0.2222,-521.4918,0.0000,0,8,5,83000.0000,1
-111.0833,1.0139,-5.7500,0.2917,-527.0842,0.0000,0,8,5,83000.0000,1
-110.4375,0.8867,-4.9375,0.0742,-522.1909,0.0000,0,8,5,83000.0000,1
-109.5833,0.1806,-4.9167,0.5139,-518.6956,0.0000,0,8,5,83000.0000,1
-109.5000,0.5417,-4.1667,0.2639,-513.1032,0.0000,0,8,5,83000.0000,1
-108.7500,0.0937,-4.0000,0.0312,-532.6766,0.0000,0,8,5,83000.0000,1
-108.7500,0.5000,-3.7500,0.5000,-524.2880,0.0000,0,8,5,83000.0000,1
-109.7500,0.5000,-3.7500,0.1667,-524.2880,0.0000,0,8,5,83000.0000,1
-109.3125,0.3867,-4.5625,0.0430,-530.5795,0.0000,0,8,5,83000.0000,1
-108.5833,0.0139,-3.5833,0.0139,-515.8994,0.0000,0,8,5,83000.0000,1
-108.3333,0.0139,-3.3333,0.0139,-527.0842,0.0000,0,8,5,83000.0000,1
-110.7500,1.6563,-5.0000,0.2187,-520.0937,0.0000,0,8,5,83000.0000,1
-109.8333,2.3889,-4.8333,0.0556,-529.8804,0.0000,0,8,5,83000.0000,1
-108.8125,0.0742,-4.0625,0.2305,-524.2880,0.0000,0,8,5,83000.0000,1
-108.6667,0.0139,-3.6667,0.0139,-515.8994,0.0000,0,8,5,83000.0000,1
-108.8333,0.3889,-3.5000,0.1667,-515.8994,0.0000,0,8,5,83000.0000,1
-109.0625,0.5742,-3.5625,0.1367,-534.7738,0.0000,0,8,5,83000.0000,1
-109.5000,1.1250,-3.8333,0.0139,-532.6766,0.0000,0,8,5,83000.0000,1
-108.5833,0.0972,-3.5833,0.0972,-529.8804,0.0000,0,8,5,83000.0000,1
-108.8750,1.0781,-3.6250,0.0781,-530.5795,0.0000,0,8,5,83000.0000,1
-109.9167,0.0972,-4.2500,0.0417,-541.0652,0.0000,0,8,5,83000.0000,1
-110.9167,0.0556,-4.5833,2.3889,-535.4728,0.0000,0,8,5,83000.0000,1
-110.8125,0.1680,-6.5625,0.0117,-536.8709,0.0000,0,8,5,83000.0000,1
-110.4167,0.5972,-6.4167,0.5972,-538.2690,0.0000,0,8,5,83000.0000,1
-110.5000,0.2917,-6.5000,0.2917,-527.0842,0.0000,0,8,5,83000.0000,1
-111.4375,0.4492,-6.1875,0.1055,-532.6766,0.0000,0,8,5,83000.0000,1
-110.4167,0.2639,-5.4167,0.0972,-532.6766,0.0000,0,8,5,83000.0000,1
-111.3750,0.8281,-6.6250,1.0781,-541.0652,0.0000,0,8,5,83000.0000,1
-111.7500,2.1667,-5.7500,0.1667,-524.2880,0.0000,0,8,5,83000.0000,1
-110.6667,0.0139,-5.6667,0.0139,-524.2880,0.0000,0,8,5,83000.0000,1
-110.3125,0.3242,-5.0625,0.0430,-528.4823,0.0000,0,8,5,83000.0000,1
-110.2500,0.0417,-5.2500,0.0417,-541.0652,0.0000,0,8,5,83000.0000,1
-110.8333,0.6806,-5.5000,0.2917,-535.4728,0.7000,7,8,5,83000.0000,1
-109.3750,0.9219,-4.8750,0.2969,-526.3852,0.0000,0,8,5,83000.0000,1
-110.3333,0.3889,-5.0000,0.1667,-543.8614,0.0000,0,8,5,83000.0000,1
-108.9167,4.0556,-4.9167,1.7222,-541.0652,0.0000,0,8,5,83000.0000,1
-110.6250,0.4531,-6.8750,0.0781,-536.8709,0.0000,0,8,5,83000.0000,1
-110.6667,0.3889,-7.3333,0.0556,-524.2880,0.0000,0,8,5,83000.0000,1
-110.9167,0.0556,-6.5833,0.3889,-521.4918,0.0000,0,8,5,83000.0000,1
-111.8125,0.1055,-7.3125,0.0430,-532.6766,0.0000,0,8,5,83000.0000,1
-110.5833,0.4306,-7.2500,0.0417,-529.8804,0.0000,0,8,5,83000.0000,1
-111.3125,0.1367,-6.8125,0.1992,-524.2880,0.0000,0,8,5,83000.0000,1
-111.0833,0.3889,-7.4167,0.0556,-501.9184,0.0000,0,8,5,83000.0000,1
-110.7500,0.3437,-6.5000,0.6562,-524.2880,0.0000,0,8,5,83000.0000,1
-109.0000,0.1250,-4.6667,0.0139,-524.2880,0.0000,0,8,5,83000.0000,1
-110.0000,0.5417,-5.0000,0.0417,-521.4918,0.0000,0,8,5,83000.0000,1
