meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-111.0000,0.0000,9.9141,0.0000,2189.4272,1.0000,614,8,5,0.0000,1
-111.0323,0.0000,9.8548,0.0000,2199.3027,1.0000,645,8,5,0.0000,1
-110.9688,0.0000,9.9297,0.0000,2209.6121,1.0000,677,8,5,0.0000,1
-111.3125,0.0000,9.9297,0.0000,2221.4080,1.0000,709,8,5,0.0000,1
-111.2581,0.0000,9.8548,0.0000,2230.6929,1.0000,740,8,5,0.0000,1
-111.3125,0.0000,9.8281,0.0000,2241.3315,1.0000,772,8,5,0.0000,1
-111.8125,0.0000,9.6484,0.0000,2307.1294,1.0000,993,8,5,0.0000,1
-111.0000,0.0000,10.0312,0.0000,2313.4214,1.0000,1025,8,5,0.0000,1
-110.5313,0.0000,10.1406,0.0000,2323.6443,1.0000,1057,8,5,0.0000,1
-110.5161,0.0000,9.9919,0.0000,2330.2742,1.0000,1088,8,5,0.0000,1
-110.8125,0.0000,9.9453,0.0000,2339.6353,1.0000,1120,8,5,0.0000,1
-110.9375,0.0000,9.8750,0.0000,2345.6650,1.0000,1152,8,5,0.0000,1
-110.8438,0.0000,9.6875,0.0000,2354.5771,1.0000,1184,8,5,0.0000,1
-110.9032,0.0000,9.7903,0.0000,2361.1228,1.0000,1215,8,5,0.0000,1
-110.8125,0.0000,9.8750,0.0000,2368.9951,1.0000,1247,8,5,0.0000,1
-110.7500,0.0000,9.6797,0.0000,2375.5496,1.0000,1279,8,5,0.0000,1
-110.8750,0.0000,9.8828,0.0000,2414.3472,1.0000,1469,8,5,0.0000,1
-110.7500,0.0000,9.9554,0.0000,2424.9067,1.0000,1500,8,5,0.0000,1
-110.1613,0.0000,9.9516,0.0000,2436.3484,1.0000,1531,8,5,0.0000,1
-109.8750,0.0000,10.3828,0.0000,2435.0557,1.0000,1563,8,5,0.0000,1
-109.9688,0.0000,10.1484,0.0000,2449.2122,1.0000,1595,8,5,0.0000,1
-109.9355,0.0000,10.1129,0.0000,2447.9851,1.0000,1626,8,5,0.0000,1
-109.9063,0.0000,10.2656,0.0000,2456.0266,1.0000,1658,8,5,0.0000,1
-110.1563,0.0000,10.0547,0.0000,2466.2500,1.0000,1690,8,5,0.0000,1
-110.1875,0.0000,9.9531,0.0000,2464.4153,1.0000,1722,8,5,0.0000,1
-110.0645,0.0000,10.1935,0.0000,2470.1746,1.0000,1753,8,5,0.0000,1
-117.3548,0.0000,6.9274,0.0000,2563.5310,1.0000,2418,8,5,0.0000,1
-116.6250,0.0000,7.4141,0.0000,2567.7007,1.0000,2450,8,5,0.0000,1
-116.2500,0.0000,7.5078,0.0000,2570.5847,1.0000,2482,8,5,0.0000,1
-116.3125,0.0000,7.5625,0.0000,2571.1089,1.0000,2514,8,5,0.0000,1
-116.7742,0.0000,7.0403,0.0000,2574.0854,1.0000,2545,8,5,0.0000,1
-116.8125,0.0000,6.9141,0.0000,2577.6624,1.0000,2577,8,5,0.0000,1
-117.0313,0.0000,6.9453,0.0000,2581.8562,1.0000,2609,8,5,0.0000,1
-117.0645,0.0000,6.6935,0.0000,2581.3911,1.0000,2640,8,5,0.0000,1
-117.0938,0.0000,6.9141,0.0000,2584.2156,1.0000,2672,8,5,0.0000,1
