meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-111.0000,0.0000,9.9141,0.0000,2189.4272,1.0000,614,8,5,0.0000,1
-111.0323,0.0000,9.8548,0.0000,2199.3027,1.0000,645,8,5,0.0000,1
-110.9688,0.0000,9.9297,0.0000,2209.6121,1.0000,677,8,5,0.0000,1
-111.3125,0.0000,9.9297,0.0000,2221.4080,1.0000,709,8,5,0.0000,1
-111.2581,0.0000,9.8548,0.0000,2230.6929,1.0000,740,8,5,0.0000,1
-111.3125,0.0000,9.8281,0.0000,2241.3315,1.0000,772,8,5,0.0000,1
-111.2500,0.0000,9.9297,0.0000,2250.2439,1.0000,804,8,5,0.0000,1
-111.0323,0.0000,9.8145,0.0000,2260.1887,1.0000,835,8,5,0.0000,1
-111.4516,0.0000,9.8790,0.0000,2269.6592,1.0000,866,8,5,0.0000,1
-111.4688,0.0000,9.9297,0.0000,2278.0320,1.0000,898,8,5,0.0000,1
-111.5625,0.0000,9.8359,0.0000,2287.7305,1.0000,930,8,5,0.0000,1
-111.4667,0.0000,9.9583,0.0000,2296.8010,1.0000,961,8,5,0.0000,1
-111.8125,0.0000,9.6484,0.0000,2307.1294,1.0000,993,8,5,0.0000,1
-111.0000,0.0000,10.0312,0.0000,2313.4214,1.0000,1025,8,5,0.0000,1
-110.5313,0.0000,10.1406,0.0000,2323.6443,1.0000,1057,8,5,0.0000,1
-110.5161,0.0000,9.9919,0.0000,2330.2742,1.0000,1088,8,5,0.0000,1
-110.8125,0.0000,9.9453,0.0000,2339.6353,1.0000,1120,8,5,0.0000,1
-110.9375,0.0000,9.8750,0.0000,2345.6650,1.0000,1152,8,5,0.0000,1
-110.8438,0.0000,9.6875,0.0000,2354.5771,1.0000,1184,8,5,0.0000,1
-110.9032,0.0000,9.7903,0.0000,2361.1228,1.0000,1215,8,5,0.0000,1
-110.8125,0.0000,9.8750,0.0000,2368.9951,1.0000,1247,8,5,0.0000,1
-110.7500,0.0000,9.6797,0.0000,2375.5496,1.0000,1279,8,5,0.0000,1
-110.8387,0.0000,9.8790,0.0000,2381.9592,1.0000,1310,8,5,0.0000,1
-110.9063,0.0000,9.8984,0.0000,2388.9185,1.0000,1342,8,5,0.0000,1
-110.5625,0.0000,9.8437,0.0000,2395.7344,1.0000,1374,8,5,0.0000,1
-110.6129,0.0000,9.9355,0.0000,2401.4421,1.0000,1405,8,5,0.0000,1
-110.7500,0.0000,9.8437,0.0000,2408.5798,1.0000,1437,8,5,0.0000,1
-110.8750,0.0000,9.8828,0.0000,2414.3472,1.0000,1469,8,5,0.0000,1
-110.7500,0.0000,9.9554,0.0000,2424.9067,1.0000,1500,8,5,0.0000,1
-110.1613,0.0000,9.9516,0.0000,2436.3484,1.0000,1531,8,5,0.0000,1
-109.8750,0.0000,10.3828,0.0000,2435.0557,1.0000,1563,8,5,0.0000,1
-109.9688,0.0000,10.1484,0.0000,2449.2122,1.0000,1595,8,5,0.0000,1
-109.9355,0.0000,10.1129,0.0000,2447.9851,1.0000,1626,8,5,0.0000,1
-109.9063,0.0000,10.2656,0.0000,2456.0266,1.0000,1658,8,5,0.0000,1
-110.1563,0.0000,10.0547,0.0000,2466.2500,1.0000,1690,8,5,0.0000,1
