meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-105.8889,4.0988,11.1389,0.2099,-637.0681,0.0000,0,8,5,83000.0000,2
-106.0000,0.8000,10.5750,0.6006,-629.9844,0.0000,0,8,5,83000.0000,2
-108.2000,4.3600,10.4000,0.8400,-627.4678,0.0000,0,8,5,83000.0000,2
-108.8000,0.7600,11.0750,0.0756,-629.1456,0.0000,0,8,5,83000.0000,2
-109.5000,3.6500,10.7000,0.1100,-625.7901,0.0000,0,8,5,83000.0000,2
-113.7000,4.6100,8.6500,1.8525,-619.0792,0.0000,0,8,5,83000.0000,2
-115.0000,5.4000,7.6500,2.6400,-617.4015,0.0000,0,8,5,83000.0000,2
-114.8000,4.7600,7.6000,2.2650,-612.3683,0.0000,0,8,5,83000.0000,2
-115.7000,10.0100,6.5500,7.1100,-609.8517,0.0000,0,8,5,83000.0000,2
-112.6000,8.2400,9.0500,2.5850,-626.6290,0.9908,433,8,5,83000.0000,2
-114.3000,9.6100,7.3750,5.3531,176823.7344,0.6667,0,8,5,442991296.0000,2
-111.0000,4.0000,10.0250,1.2556,-626.6290,0.0000,0,8,5,83000.0000,2
-111.4000,1.0400,9.5500,0.4225,-624.9513,0.0000,0,8,5,83000.0000,2
-111.9000,4.0900,9.2500,1.5375,-625.7901,0.0000,0,8,5,83000.0000,2
-120.4000,2.4400,1.4250,4.5756,-624.9512,0.0000,0,8,5,83000.0000,2
