meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-97.6,0.2,12.1,0.0,-427.0,0.000,0,8,5,93000.0,0
-98.0,0.0,12.1,0.0,-427.0,0.000,0,8,5,93000.0,0
-98.0,0.0,12.0,0.1,-423.6,0.000,0,8,5,93000.0,0
-98.8,5.4,11.9,0.1,-423.6,0.000,0,8,5,93000.0,0
-108.4,4.2,8.9,9.0,-470.6,0.000,0,8,5,93000.0,0
-110.2,1.0,9.3,0.4,-423.6,0.000,0,8,5,93000.0,0
-112.0,5.2,9.0,3.0,-427.0,0.000,0,8,5,93000.0,0
-105.6,1.4,10.6,0.2,-421.9,0.000,0,8,5,93000.0,0
-105.0,0.0,10.1,0.2,-420.3,0.000,0,8,5,93000.0,0
-105.0,0.4,10.6,0.4,-416.9,0.000,0,8,5,93000.0,0
-105.2,0.2,10.9,0.2,-415.2,0.000,0,8,5,93000.0,0
-106.4,0.2,11.4,0.0,-423.6,0.000,0,8,5,93000.0,0
-106.0,0.0,11.4,0.1,-421.9,0.000,0,8,5,93000.0,0
-105.6,0.2,11.4,0.0,-420.3,0.000,0,8,5,93000.0,0
-106.0,0.0,11.5,0.1,-415.2,0.000,0,8,5,93000.0,0
-106.0,0.0,11.4,0.0,-420.3,0.000,0,8,5,93000.0,0
-106.2,0.2,11.3,0.1,-418.6,0.000,0,8,5,93000.0,0
-105.2,0.2,10.9,0.1,-423.6,0.000,0,8,5,93000.0,0
-105.0,0.0,10.8,0.2,-418.6,0.000,0,8,5,93000.0,0
-105.0,0.0,10.8,0.1,-425.3,0.000,0,8,5,93000.0,0
-105.2,0.2,11.0,0.2,-421.9,0.000,0,8,5,93000.0,0
-105.0,0.0,11.1,0.0,-421.9,0.000,0,8,5,93000.0,0
-105.2,0.2,10.4,0.1,-420.3,0.000,0,8,5,93000.0,0
-105.0,0.0,10.9,0.1,-418.6,0.000,0,8,5,93000.0,0
-105.2,0.2,10.5,0.2,-413.6,0.000,0,8,5,93000.0,0
-105.4,0.2,11.0,0.2,-413.6,0.000,0,8,5,93000.0,0
-105.2,0.2,11.3,0.1,-411.9,0.000,0,8,5,93000.0,0
-105.0,0.4,10.9,0.1,-410.2,0.000,0,8,5,93000.0,0
-105.0,0.0,11.1,0.1,-420.3,0.000,0,8,5,93000.0,0
-104.8,0.6,10.9,0.2,-416.9,0.000,0,8,5,93000.0,0
-105.0,0.0,10.7,0.1,-408.5,0.000,0,8,5,93000.0,0
-105.0,0.0,10.9,0.0,-406.8,0.000,0,8,5,93000.0,0
-105.2,0.2,10.6,0.0,-421.9,0.000,0,8,5,93000.0,0
-105.0,0.4,10.5,0.4,-420.3,0.000,0,8,5,93000.0,0
-104.8,0.2,9.7,0.2,-413.6,0.000,0,8,5,93000.0,0
-105.2,0.2,10.1,0.1,-398.5,0.000,0,8,5,93000.0,0
-104.8,0.2,10.6,0.1,-403.5,0.000,0,8,5,93000.0,0
-105.0,0.0,9.9,0.1,-396.8,0.000,0,8,5,93000.0,0
-104.8,0.2,10.1,0.1,-411.9,0.000,0,8,5,93000.0,0
-104.6,0.2,10.2,0.2,-405.2,0.000,0,8,5,93000.0,0
-105.2,0.2,10.3,0.1,-388.4,0.000,0,8,5,93000.0,0
-104.8,0.2,10.6,0.3,-393.4,0.000,0,8,5,93000.0,0
-105.4,0.2,10.8,0.1,-410.2,0.000,0,8,5,93000.0,0
-105.2,0.2,10.3,0.2,-401.8,0.000,0,8,5,93000.0,0
-104.8,0.2,10.2,0.1,-403.5,0.000,0,8,5,93000.0,0
-104.6,0.2,9.9,0.3,-385.0,0.000,0,8,5,93000.0,0
-104.6,0.2,9.9,0.1,-390.1,0.000,0,8,5,93000.0,0
-104.8,0.2,10.4,0.3,-393.4,0.000,0,8,5,93000.0,0
-104.8,0.2,10.1,0.1,-396.8,0.000,0,8,5,93000.0,0
-105.0,0.0,9.9,0.2,-403.5,0.000,0,8,5,93000.0,0
-104.4,0.2,10.0,0.1,-386.7,0.000,0,8,5,93000.0,0
-105.2,0.6,10.5,0.2,-396.8,0.000,0,8,5,93000.0,0
-104.8,0.2,10.9,0.1,-393.4,0.000,0,8,5,93000.0,0
-105.0,1.6,10.9,0.3,-396.8,0.000,0,8,5,93000.0,0
