meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-105.0,0.4,10.4,0.1,-406.8,0.000,0,8,5,93000.0,0
-105.4,0.2,10.9,0.2,-418.6,0.000,0,8,5,93000.0,2
-104.6,0.2,11.9,0.2,-402.4,0.286,0,10,8,429000.0,2
-102.6,1.4,11.4,0.7,-407.9,0.375,0,10,8,429000.0,2
-100.6,0.2,13.8,0.1,-402.0,0.375,0,10,8,429000.0,2
-100.4,0.2,13.6,0.0,-401.2,0.375,0,10,8,429000.0,2
-100.4,0.2,13.8,0.0,-389.0,0.375,0,10,8,429000.0,2
-100.4,0.2,13.9,0.0,-379.4,0.375,0,10,8,429000.0,2
-100.4,0.2,13.8,0.0,-364.3,0.375,0,10,8,429000.0,2
-100.4,0.2,13.7,0.0,-353.0,0.375,0,10,8,429000.0,2
-100.4,0.2,13.8,0.0,-342.0,0.375,0,10,8,429000.0,2
-101.2,0.2,13.3,0.0,-330.7,0.375,0,10,8,429000.0,2
-100.8,0.2,12.5,3.5,-311.4,0.375,0,10,8,429000.0,2
-101.2,0.2,13.6,0.0,-307.2,0.375,0,10,8,429000.0,2
-100.6,0.2,13.6,0.0,-300.1,0.375,0,10,8,429000.0,2
-100.8,0.2,13.6,0.1,-290.5,0.375,0,10,8,429000.0,2
-101.0,0.0,13.7,0.0,-283.3,0.375,0,10,8,429000.0,2
-100.8,0.2,13.6,0.0,-275.4,0.375,0,10,8,429000.0,2
-100.6,0.2,13.7,0.0,-269.9,0.375,0,10,8,429000.0,2
-100.4,0.2,13.8,0.0,-257.7,0.375,0,10,8,429000.0,2
-101.0,0.0,13.4,0.1,-251.0,0.375,0,10,8,429000.0,2
-100.6,0.2,13.7,0.0,-247.3,0.375,0,10,8,429000.0,2
-100.6,0.2,13.6,0.0,-236.3,0.500,0,10,8,429000.0,2
-100.4,0.2,13.7,0.0,-230.1,0.375,0,10,8,429000.0,2
-101.0,0.0,13.4,0.0,-224.2,0.375,0,10,8,429000.0,2
-100.8,0.2,13.6,0.0,-220.4,0.375,0,10,8,429000.0,2
-101.0,0.0,13.4,0.0,-215.0,0.375,0,10,8,429000.0,2
-100.6,0.2,13.6,0.0,-215.4,0.375,0,10,8,429000.0,2
