meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-121.5500,0.1975,-0.1500,0.0275,-625.7901,0.0000,0,8,5,83000.0000,2
-121.3250,0.3006,0.0000,0.1000,-620.7570,0.0000,0,8,5,83000.0000,2
-121.1000,28.1775,1.1750,27.9506,-600.6244,0.2857,0,8,5,83000.0000,2
-127.5000,6.2500,-5.0000,4.0000,-595.5912,0.0000,0,8,5,83000.0000,2
-127.6000,43.9400,-4.4750,37.5306,-395.9423,0.2857,0,8,5,83000.0000,2
-126.1250,33.9781,-3.4000,27.7150,-358.1936,0.1667,0,8,5,83000.0000,2
-128.1000,3.6650,-5.2000,3.0350,-360.7101,0.0000,0,8,5,83000.0000,2
-126.9250,0.4131,-4.2250,0.0681,-354.8381,0.0000,0,8,5,83000.0000,2
-126.3000,1.4725,-3.8000,0.7725,-351.4827,0.0000,0,8,5,83000.0000,2
-124.4500,0.4100,-2.2500,0.1000,-353.1604,0.1667,0,8,5,83000.0000,2
-126.8000,4.6725,-4.2000,2.4225,-349.8050,0.0000,0,8,5,83000.0000,2
-128.6750,0.4631,-5.5750,0.0881,-352.3215,0.0000,0,8,5,83000.0000,2
-128.4250,0.0756,-5.4250,0.0756,-353.9993,0.0000,0,8,5,83000.0000,2
-128.0250,0.5806,-5.3250,0.0756,-353.1604,0.0000,0,8,5,83000.0000,2
-128.6500,0.3150,-5.7500,0.1750,-348.9661,0.0000,0,8,5,83000.0000,2
-127.3000,2.3850,-4.6000,1.6150,-351.4827,0.0000,0,8,5,83000.0000,2
-127.3500,4.9150,-4.7500,3.0750,-355.6770,0.0000,0,8,5,83000.0000,2
-128.5000,4.1750,-5.7000,2.6850,-345.6107,0.0909,0,8,5,83000.0000,2
-128.0750,2.3131,-5.2750,1.6431,-348.9661,0.0000,0,8,5,83000.0000,2
-126.0750,0.1881,-3.6750,0.0381,-344.7718,0.0000,0,8,5,83000.0000,2
-126.3000,0.3100,-3.7000,0.0600,-341.4163,0.0000,0,8,5,83000.0000,2
-126.3750,0.4031,-3.7750,0.1431,-345.6107,0.0000,0,8,5,83000.0000,2
-126.1000,0.2900,-3.8000,0.1100,-341.4163,0.0000,0,8,5,83000.0000,2
-126.3500,0.3775,-3.7500,0.0375,-340.5775,0.0000,0,8,5,83000.0000,2
-127.0500,1.5350,-4.5500,0.8350,-336.3832,0.0000,0,8,5,83000.0000,2
-127.0750,0.4506,-4.5750,0.0756,-335.5443,0.0000,0,8,5,83000.0000,2
-128.6500,3.1900,-5.8500,2.5400,-337.2220,0.0000,0,8,5,83000.0000,2
-129.2250,2.3181,-6.2250,1.6681,-339.7386,0.0000,0,8,5,83000.0000,2
-127.2000,0.1850,-4.5000,0.0750,-329.6723,0.0000,0,8,5,83000.0000,2
-130.1250,1.3781,-7.0250,1.1931,-340.5775,0.0000,0,8,5,83000.0000,2
-130.6500,0.1150,-7.6500,0.1150,-346.4495,0.0000,0,8,5,83000.0000,2
-129.2750,3.3806,-6.4750,2.4306,-334.7054,0.0000,0,8,5,83000.0000,2
-130.9250,0.0631,-7.9250,0.0631,-343.0941,0.0909,0,8,5,83000.0000,2
-130.8500,0.1525,-7.7500,0.1125,-346.4495,0.0000,0,8,5,83000.0000,2
-130.6250,0.1031,-7.4250,0.1131,-332.1888,0.0000,0,8,5,83000.0000,2
-130.4250,0.1631,-7.4250,0.1631,-334.7055,0.0000,0,8,5,83000.0000,2
-124.8250,13.4506,-2.7250,8.6056,-334.7054,0.0000,0,8,5,83000.0000,2
-121.9000,0.2400,-0.4000,0.0400,-330.5112,0.0000,0,8,5,83000.0000,2
-122.7250,0.1181,-0.8250,0.0131,-333.0278,0.0000,0,8,5,83000.0000,2
-124.3250,4.9131,-2.1250,3.6031,-327.9946,0.0000,0,8,5,83000.0000,2
-128.3750,1.8656,-5.4750,1.4806,-331.3500,0.0000,0,8,5,83000.0000,2
-129.1500,2.5025,-6.1500,2.5025,-337.2220,0.0000,0,8,5,83000.0000,2
-129.7500,19.1250,-6.8000,16.6725,-320.4449,0.3333,0,8,5,83000.0000,2
-130.5500,0.2600,-7.5500,0.1600,-345.6107,0.0000,0,8,5,83000.0000,2
-130.7000,36.0975,-7.7000,30.3100,-343.0941,0.2308,0,8,5,83000.0000,2
-129.0000,5.0000,-6.1250,4.1719,-318.7671,0.4667,0,8,5,83000.0000,2
-125.5000,0.3000,-3.2000,0.0600,-328.8334,0.0000,0,8,5,83000.0000,2
-125.6500,0.7400,-3.3500,0.2400,-343.9329,0.0000,0,8,5,83000.0000,2
-124.6000,0.8900,-2.5000,0.6500,-334.7054,0.0000,0,8,5,83000.0000,2
