meanRSSI,varRSSI,meanSNR,varSNR,CFO,PLR,CRC,SF,CR,meanToA,label
-132.0000,6.8375,-9.2000,5.0475,-89.9678,0.0000,0,12,8,1450000.0000,2
-127.8250,0.9631,-5.3250,0.7881,-25.1658,0.0000,0,12,8,1450000.0000,2
-130.0750,5.5756,-7.1750,5.0006,26.6863,0.0000,0,12,8,1450000.0000,2
-130.4750,4.5431,-7.4750,3.5931,68.5244,0.0000,0,12,8,1450000.0000,2
-130.5500,0.6100,-7.6500,0.6400,110.7296,0.0000,0,12,8,1450000.0000,2
-130.0500,1.3225,-7.1500,0.8525,148.6881,0.0000,0,12,8,1450000.0000,2
-130.1250,0.9531,-7.2250,0.7681,182.3998,0.0000,0,12,8,1450000.0000,2
-131.0750,4.6006,-8.1750,3.9756,209.7676,0.0000,0,12,8,1450000.0000,2
-128.9000,0.3025,-6.1000,0.1025,237.0830,0.0000,0,12,8,1450000.0000,2
-128.2000,0.2600,-5.5000,0.1500,260.9381,0.0000,0,12,8,1450000.0000,2
-134.2000,1.1600,-11.2000,1.1600,283.3253,0.0000,0,12,8,1450000.0000,2
-131.1750,4.7256,-8.3750,3.1656,302.3569,0.0000,0,12,8,1450000.0000,2
-130.4500,3.4975,-7.5500,2.9975,320.0255,0.0000,0,12,8,1450000.0000,2
-128.4500,3.1225,-5.9500,1.8725,337.0648,0.0000,0,12,8,1450000.0000,2
-129.1000,0.7775,-6.4000,0.3275,352.3215,0.0000,0,12,8,1450000.0000,2
-128.5250,0.1681,-6.0250,0.0431,366.3725,0.0000,0,12,8,1450000.0000,2
-127.8250,0.9006,-5.2250,0.4806,380.1613,0.0000,0,12,8,1450000.0000,2
-130.7000,2.5850,-7.9000,1.7650,393.4257,0.0000,0,12,8,1450000.0000,2
-130.0750,0.3506,-7.0750,0.3506,405.5368,0.0000,0,12,8,1450000.0000,2
-128.9250,0.4881,-6.3250,0.1881,416.7565,0.0000,0,12,8,1450000.0000,2
-127.7750,1.1556,-5.2750,0.6306,426.5607,0.0000,0,12,8,1450000.0000,2
-129.4500,1.3850,-6.4500,1.3850,435.8406,0.0000,0,12,8,1450000.0000,2
-129.8000,1.4975,-6.9000,1.4275,443.1807,0.0000,0,12,8,1450000.0000,2
-130.6750,1.4506,-7.8750,1.4906,453.2470,0.0000,0,12,8,1450000.0000,2
-130.1250,1.2031,-7.2250,0.9681,460.8491,0.0000,0,12,8,1450000.0000,2
-130.1750,0.2256,-7.3750,0.1656,468.1892,0.0000,0,12,8,1450000.0000,2
-129.5250,1.4681,-6.6250,0.7031,476.7351,0.0000,0,12,8,1450000.0000,2
-129.1750,4.7006,-6.5750,2.9506,483.5509,0.0000,0,12,8,1450000.0000,2
-128.4000,3.9275,-5.8000,2.6475,490.3665,0.0000,0,12,8,1450000.0000,2
-129.2750,4.2681,-6.7750,3.0931,496.7104,0.0000,0,12,8,1450000.0000,2
-129.9750,1.4556,-7.0750,1.2006,501.6912,0.0000,0,12,8,1450000.0000,2
-130.2500,0.6875,-7.2500,0.6875,506.3573,0.0000,0,12,8,1450000.0000,2
-133.2250,18.4056,-10.1250,17.6406,514.9032,0.0000,0,12,8,1450000.0000,2
-133.0250,11.2931,-10.0250,9.0931,517.0528,0.0000,0,12,8,1450000.0000,2
